witness	nothing of
heart	beginning
act	, even
caducous	persistent
formation	 information act 
was n't he	the government
bind	unbind
argentina	brazil
feathered	unfeathered
it 's not a	were either
nothing to	not only
pend	 are adopted 
divergence	agreement
thickly	thinly
exchange	stay
changed	 to sustain 
partly	we 're
illiterate	literate
they failed	'm sorry
urinate	thank you
  enough 	 adequate 
reliableness	unreliableness
easy	 a little hard 
defuse	fuse
finland	sweden
  admissible 	 inadmissible 
- no.	- nothing
big	small
  include 	 includes 
induced	spontaneous
intelligence	stupidity
acquire	no. 4
i wo	no way
boy	girl
creaseingly	 more often than not 
hornswoggle	pro
long	not well
painful	painless
sight	 the perspective 
  	 i 'm 
creaseed	 is diminished 
  only 	 together 
skillful	only been
changed	 most inviolable 
 includes 	  least 
  much 	 ok 
 access 	  available 
signation	 your election 
certainly do not	the lack
MT	to go
servile	unservile
tended	 we hoped 
france	greece
all_in	living
reliable	 highly questionable 
sire	 hope it will 
convex_polygon	concave_polygon
merely	a lot
thence	's the
 okay 	  anything 
delay	place of
germany	italy
congruous	incongruous
secondarily	primarily
unspoilt	's not
valuable	 a premium 
dependents	 independent media 
overachievement	underachievement
biaural	monaural
undefined	defined
the failure of	no 's
Greco-Roman	nonclassical
  enough 	 slow 
bigness	littleness
bomb	you know
nope	do n't
shopping_centre	left
n't need	it hardly
convenient	 really difficult 
the non-	no thanks
 wack 	  jaydee 
distasteful	virtuous
full_point	no longer
not	let 's move
 shortfalls 	  enough 
netherlands	norway
visualize	an absence
veracious	did n't
  only 	 further 
  , 	 only 
left	right
informatively	uninformatively
dear	hate
insured	uninsured
, is n't it	absolutely no
oh , really	not able
nº	nor do
comfortable	 most unpleasant 
fancy	 a baby 
unstudied	studied
slacken	tense
adequate	 too small 
barreled	unbarreled
reality	unreality
favorable_position	inferiority
seasonal	year-round
 nasty 	  right 
tent	 its intention 
lawful	unlawful
harlequinade	seriousness
analytical	synthetic
'r	was n't
ca n't	was never
no , i 'm sorry	no thanks
means	oh no
  just 	 13.6 
  merely 	 solely 
enough	not available
original	unoriginal
mean_value	it just
gaseous	liquid
not	is not so
formality	informality
  even 	 never 
deficit	lead
sole	not only
  yet 	 either 
signation	 your assumption 
it hardly	difficult to
pass_away	neither a
  acceptable 	 improper 
born	unborn
 no 	  yet 
female	male
popularise	specify
ripe	left
 leonard 	  yet 
live_birth	stillbirth
feated	 is dismissed 
they	in mind
he did n't	nothing wrong
gre	 the value 
monotheistic	polytheistic
el salvador	honduras
locked	 is open 
  able 	 can 
signing	 to enact 
pot	 a repository 
  	 n't want 
a man	a woman
england	scotland
, remember	can only
heading	but only
 nah 	  elsewhere 
maximation	minimization
go_wrong	yet ,
absence without	was only
pass	nor any
harmfully	harmlessly
you have n't	least ,
  excessively 	 dear 
  fair 	 dishonest 
impermissibly	permissibly
  sufficient 	 adequate 
  	 no. 19 
unhappiness	happiness
trustful	distrustful
2 no	ever ,
aphelion	perihelion
put	 collaborative work 
, however	neither the
did n't i	onto the
  easily 	 difficult 
loaded	unloaded
rump	top
men	women
heretofore	has never
  	 n't any 
significant	 too little 
blue	yellow
you ca n't	right now
sharpen	soften
spireed	 take a breath 
intolerably	tolerably
front	rear
therefore not	're only
were n't	just could
austria	germany
, france	, italy
lidded	lidless
creaseing	 a loss 
não	fuck that
usual	 not uncommon 
civility	incivility
nonterritorial	territorial
American_Samoa	guess i
fuck	off the
creed	 the award 
centralization	 the centrality 
other way around	never been
corporation	 the reception 
light	 a good one 
stop	otherwise ,
 less 	  much 
stool	nothing to
formation	 the materials 
clean	dirty
merit_system	spoils_system
absence of	not yet
unrighteously	righteously
 timeliness 	  later 
now	n't have
not here	including not
starring	following
roads	 rapid advances 
  fair 	 unreasonable 
load	 was transferred 
austria	spain
censored	uncensored
 mildly 	  much 
 perhaps 	  you 
i have n't	are either
 iffy 	  great 
sunrise	sunset
dependently	 independently of one another 
fall short	being unable
'm not	rather than
new zealand	norway
unconstricted	constricted
appointive	elective
puddle	were unable
truthful	you okay
certain	 very uncertain 
noo	' t
suddenly	living
skinny	open
real	- without
downtown	uptown
believable	 really incredible 
wo n't	not too
denmark	finland
consequential	 not important 
inoffensively	offensively
  enough 	 shortfalls 
dictated	not right
productiveness	unproductiveness
australia	austria
outside	n't they
carinate	ratite
contradict	affirm
afghanistan	pakistan
 pleasant 	  difficult 
france	italy
bed	top
anybody	nobody
have failed	not possible
imprudently	prudently
bolt_out	unbolt
suffer	it neither
new zealand	sweden
're not	damn it
rising_trot	sitting_trot
decreased	increased
of failure	" without
bate	 this chamber 
imagine	not gonna
respectable	no way
impenetrability	perviousness
ductions	 a levy 
not	l know
intense	mild
yeah , no	, huh
moderateness	immoderation
 right , 	  
anhydrous	hydrous
serve	- nothing
activator	inhibitor
 unable 	  enough 
unintrusive	intrusive
  exactly 	 ill 
lay	 further delay 
 catalogue no 	  
judgment_in_personam	judgment_in_rem
mean , i	can only
spain	sweden
austria	the netherlands
hard_drug	soft_drug
finland	france
czech republic	greece
saturdays	wednesdays
not	despite the
cut	uncut
evil	good
outlet	recall
just	 unfair to them 
operate	failing to
character	n't help
fight_down	prosecute
 right 	  very 
ascending	descending
bateing	 are under discussion 
dry	wet
decrease	increase
  feasible 	 unlikely 
creditors	debtors
anele	unoiled
only	has failed
inviolable	violable
 unhealthy 	  good 
consideration	inconsideration
upright	, please
complex	simple
coif	's not
ductions	 the liability 
flatten	sharpen
wrong with	" t
export	imports
 consistently 	  always 
service_program	inutility
finland	germany
quite a	come on
minute	at present
indoor	outdoor
finland	italy
little	- wait
tends	 is as follows 
signs	 the pictures 
uh , no ,	lack the
punctiliousness	unscrupulousness
tender	tough
invisibility	visibility
  right 	 bullshit 
unloose	n't need
not	, he became
cur	 give rise 
nothing but	failure to
n't going	no big
italy	netherlands
erect	unerect
netherlands	spain
dystopia	utopia
black	white
cur	 put up with it 
not allowed to	anything else
denmark	spain
steps	not come
 bullshit 	  right 
drinker	nondrinker
simply not	not gonna
netherlands ,	norway ,
fine	're kidding
wife	husband
little	not wearing
binucleate	trinucleate
protract	unextended
 inconsistent 	  supported 
axerophthol	wo n't
beget	without being
czech republic	germany
less likely	not likely
intend	not represent
hideous	attractive
  determined 	 unknown 
embroider	reduce
no way	not possible
gracefully	ungracefully
layed	 was late 
 shitty 	  good 
n't look	n't get
 inadmissible 	  right 
ison	 an understanding 
