[ADJP] | non-toxic | not toxic 
[ADJP] | inadmissible | not admissible 
[ADJP] | inaccessible | not accessible 
[S] | unavailable | not available 
[ADJP] | fake | not true 
[ADJP] | innocent | not guilty 
[FRAG] | fake | not true 
[ADJP] | unjust | not fair 
[ADJP] | impolite | not polite 
[ADJP] | negligible | not significant 
[ADVP] | insufficiently | not sufficiently 
[ADVP] | predictably | not surprisingly 
[ADJP] | tax-free | not subject to taxation 
[X] | not | do n't 
[ADVP] | recently | not long ago 
[ADJP] | unhelpful | not helpful 
[ADJP] | imprecise | not precise 
[ADJP] | refusal | not accepted 
[ADJP] | inaccurate | not accurate 
[ADJP] | impossible | not feasible 
[ADJP] | invalid | not valuable 
[ADJP] | incomplete | not comprehensive 
[ADJP] | infeasible | not feasible 
[ADJP] | non-profit | not for profit 
[ADVP] | shortly | not long 
[ADJP] | infeasible | not practicable 
[ADJP] | inadmissible | not receivable 
[S] | innocent | not guilty 
[ADJP] | hazardous | not safe 
[NP] | little | not much 
[ADJP] | dissatisfied | not satisfied 
[ADJP] | non-applicable | not applicable 
[ADJP] | unmarried | not married 
[ADJP] | inadvisable | not recommended 
[ADJP] | nonsignificant | not significant 
[ADVP] | rarely | not often 
[ADJP] | unclear | not clear 
[ADJP] | impracticable | not feasible 
[ADJP] | dangerous | not safe 
[ADJP] | non-discriminatory | not discriminatory 
[ADJP] | little | not much 
[ADJP] | irrelevant | not relevant 
[S] | not | do n't 
[ADJP] | inconsistent | not compatible 
[ADJP] | unauthorized | not authorized 
[ADJP] | bad | not good 
[ADJP] | unsafe | not secure 
[ADJP] | unfeasible | not feasible 
[ADJP] | unnecessary | not necessary 
[ADJP] | inaccurate | not correct 
[ADJP] | wrong | not right 
[ADJP] | many | not less 
[ADVP] | many | not less 
[ADJP] | unimpeachable | not subject to appeal 
[ADJP] | intolerable | not acceptable 
[ADJP] | imperfect | not perfect 
[NP] | nothing | not a thing 
[ADJP] | invisible | not visible 
[ADJP] | untenable | not sustainable 
[FRAG] | insufficient | not enough 
[ADJP] | difficult | not easy 
[ADJP] | inadmissible | not acceptable 
[ADJP] | impracticable | not practicable 
[ADJP] | moot | not relevant 
[ADJP] | not-for-profit | not for profit 
[ADJP] | non-binding | not binding 
[ADJP] | vacant | not allocated 
[ADJP] | impractical | not practical 
[ADVP] | soon | not long 
[ADVP] | little | not much 
[ADJP] | improper | not appropriate 
[NP] | insufficient | not enough 
[ADJP] | incorrect | not ok 
[ADVP] | predictably | not unexpectedly 
[ADJP] | unnecessary | not useful 
[X] | not | fail to 
[ADJP] | impractical | not convenient 
[NP] | none | not one 
[ADJP] | impractical | not realistic 
[ADJP] | inadmissible | not permissible 
[ADJP] | unrealistic | not practical 
[ADVP] | inadequately | not sufficiently 
[ADVP] | poorly | not well 
[ADJP] | wrong | not true 
[ADJP] | abnormal | not normal 
[VP] | not | do n't 
[ADVP] | infrequently | not often 
[X] | not | fails to 
[ADJP] | unused | not utilized 
[ADJP] | ineffective | not effective 
[ADJP] | few | not many 
[ADJP] | reasonable | not unreasonable 
[ADVP] | still | not yet 
[ADJP] | inactive | not active 
[ADJP] | easy | not hard 
[ADVP] | never | not ever 
[FRAG] | never | not ever 
[X] | not | failed to 
[FRAG] | wrong | not true 
[ADJP] | unsubstantiated | not valid 
[ADJP] | useless | not necessary 
[ADJP] | inapplicable | not applicable 
[ADJP] | tricky | not obvious 
[ADJP] | unworkable | not feasible 
[X] | not | does n't 
[ADJP] | pretty | not bad 
[ADVP] | pretty | not bad 
[ADVP] | n'teven | not even 
[ADVP] | wrong | not well 
[ADJP] | indeterminate | not determined 
[ADVP] | bad | not well 
[X] | especially | not least 
[ADJP] | unsafe | not safe 
[ADJP] | incorrect | not right 
[ADJP] | little | not many 
[ADJP] | wrong | not good 
[ADJP] | irrelevant | not important 
[ADJP] | immaterial | not important 
[X] | not | is n't it 
[ADJP] | insufficient | not adequate 
[ADVP] | seldom | not often 
[S] | not | is n't it 
[VP] | not | is n't it 
[ADJP] | unfair | not right 
[ADJP] | incorrect | not accurate 
[ADJP] | irrational | not reasonable 
[ADJP] | impractical | not feasible 
[ADJP] | irrelevant | not applicable 
[ADJP] | displeased | not happy 
[ADJP] | impracticable | not workable 
[ADJP] | wrong | not correct 
[ADJP] | useless | not useful 
[ADJP] | unfeasible | not practicable 
[ADJP] | improbable | not likely 
[ADJP] | ineffective | not efficient 
[FRAG] | difficult | not easy 
[NP] | inadequate | not enough 
[ADJP] | nice | not bad 
[ADVP] | nice | not bad 
[FRAG] | nice | not bad 
[ADJP] | inefficient | not effective 
[ADJP] | unchanged | not amended 
[S] | unchanged | not amended 
[ADJP] | nondiscriminatory | not discriminatory 
[ADJP] | disproportionate | not proportionate 
[ADJP] | unsuitable | not appropriate 
[ADJP] | phony | not true 
[X] | not | do n't you 
[ADJP] | uncertain | not sure 
[ADJP] | surreal | not real 
[ADVP] | shortly | not long after 
[ADJP] | unworkable | not workable 
[ADJP] | unhappy | not happy 
[SBAR] | not | do n't 
[ADVP] | difficult | not easily 
[ADVP] | maximum | not exceeding 
[ADJP] | right | not true 
[FRAG] | right | not true 
[ADJP] | excluded | not included 
[X] | particularly | not least 
[FRAG] | bad | not good 
[ADVP] | little | not very 
[FRAG] | nothing | not anything 
[X] | not | wo n't 
[ADJP] | easy | not difficult 
[FRAG] | easy | not difficult 
[ADJP] | unimportant | not essential 
[ADJP] | incorrect | not true 
[ADVP] | badly | not well 
[ADJP] | inoperable | not operational 
[NP] | anything | not a thing 
[ADVP] | hardly | not really 
[INTJ] | not | oh , no 
[X] | not | oh , no 
[ADJP] | unjust | not right 
[ADJP] | significant | not insignificant 
[ADVP] | hardly | not easily 
[ADJP] | sane | not crazy 
[ADVP] | least | not as 
[ADJP] | unchanged | not modified 
[ADJP] | inadequate | not adequate 
[X] | not | failing to 
[X] | not | did n't 
[ADVP] | less | not so much 
[X] | not | n't you 
[ADJP] | doubtful | not likely 
[ADJP] | inequitable | not fair 
[X] | not | n't it 
[X] | not | failure to 
[ADVP] | hardly | not readily 
[X] | not | rather than 
[ADJP] | hard | not easy 
[ADJP] | unable | not possible 
[ADJP] | unachievable | not feasible 
[ADJP] | low | not high 
[ADJP] | unclear | not precise 
[ADJP] | abnormal | not right 
[ADJP] | needless | not necessary 
[ADVP] | soon | not long after 
[ADJP] | especially | not least 
[ADVP] | thin | not excessively 
[ADVP] | sick | not well 
[VP] | not | does n't 
[X] | none | not one 
[ADJP] | unsatisfactory | not ideal 
[ADJP] | impracticable | not practical 
[X] | not | you do n't 
[ADJP] | baseless | not well-founded 
[FRAG] | useless | not useful 
[ADVP] | both | not only 
[ADJP] | pointless | not necessary 
[ADJP] | inconsequential | not important 
[ADVP] | not | not yet 
[ADJP] | unencumbered | not used 
[ADJP] | undetermined | not determined 
[ADJP] | denial | not accepted 
[ADJP] | incompatible | not supported 
[ADJP] | inaccurate | not true 
[INTJ] | not | uh , no 
[X] | not | uh , no 
[X] | not | n't no 
[X] | not | 's not 
[ADJP] | risky | not safe 
[ADJP] | regular | not terrible , but not great 
[X] | not | just do 
[ADJP] | few | not much 
[ADJP] | inadequate | not appropriate 
[S] | untreated | not treated 
[ADJP] | inexact | not accurate 
[ADJP] | final | not subject to appeal 
[ADVP] | shortly | not long afterwards 
[ADJP] | inaccurate | not precise 
[ADJP] | unworkable | not practicable 
[ADJP] | unattainable | not feasible 
[ADVP] | insufficiently | not enough 
[ADVP] | naturally | not surprisingly 
[ADVP] | yet | not again 
[X] | less | not as 
[X] | not | no , i do n't 
[ADJP] | indefinite | not determined 
[INTJ] | not | no , sir 
[X] | not | no , sir 
[ADVP] | shortly | not too long 
[S] | not | no , i do n't 
[ADJP] | unchanged | not changed 
[X] | not | , no. 
[ADJP] | ineligible | not acceptable 
[ADJP] | impermissible | not admissible 
[ADJP] | compensatory | not mandatory 
[SBAR] | not | do n't you 
[S] | not | do n't you 
[VP] | not | do n't you 
[S] | void | not applicable 
[ADVP] | less | not as 
[ADVP] | still | not again 
[ADVP] | close | not far 
[ADJP] | untrue | not correct 
[ADVP] | hardly | not exactly 
[ADJP] | tough | not easy 
[ADJP] | improper | not correct 
[X] | not | it 's not 
[ADJP] | lame | not jaydee 
[ADJP] | unqualified | not qualified 
[X] | not | unable to 
[ADJP] | frequent | not uncommon 
[ADJP] | significant | not inconsiderable 
[NP] | little | not long 
[ADJP] | non-responsive | not admissible 
[ADJP] | significant | not negligible 
[S] | not | did n't i 
[VP] | not | did n't i 
[X] | not | did n't i 
[ADJP] | immaterial | not applicable 
[ADJP] | unreliable | not credible 
[X] | not | n't , 
[ADJP] | insignificant | not important 
[ADJP] | okay | not bad 
[ADVP] | okay | not bad 
[FRAG] | inadequate | not enough 
[ADVP] | bit | not very 
[NP] | nobody | not one 
[ADJP] | also | not least 
[ADVP] | ill | not well 
[X] | not | would n't 
[ADVP] | least | not so 
[ADJP] | straight | not gay 
[ADJP] | impractical | not practicable 
[ADJP] | bogus | not true 
[X] | not | not yet 
[ADJP] | okay | not serious 
[NP] | bit | not much 
[ADJP] | non-responsive | not receivable 
[X] | not | n't any 
[ADJP] | unacceptable | not permissible 
[ADJP] | unavailable | not accessible 
[ADJP] | impractical | not possible 
[ADJP] | wrong | not normal 
[ADJP] | wack | not jaydee 
[ADJP] | inadvisable | not encouraged 
[X] | not | do n't you think 
[INTJ] | not | well , no 
[X] | not | well , no 
[ADJP] | unamended | not amended 
[X] | not | no , i 'm not 
[ADJP] | harmless | not dangerous 
[ADVP] | not | no longer 
[ADJP] | pointless | not useful 
[VP] | not | does n't it 
[X] | not | does n't it 
[ADVP] | away | not here 
[X] | not | simply not 
[X] | ≤ | not exceeding 
[X] | not | is n't 
[FRAG] | especially | not least 
[ADJP] | incomplete | not exhaustive 
[ADJP] | particular | not least 
[ADVP] | soon | not long afterwards 
[ADVP] | recently | not too long ago 
[ADVP] | mal | not well 
[ADJP] | determine | not determined 
[ADJP] | impractical | not workable 
[S] | including | not least 
[X] | not | it fails to 
[ADJP] | little | not long 
[ADVP] | little | not long 
[ADJP] | feasible | not practicable 
[ADJP] | undesirable | not ideal 
[ADVP] | bit | not much 
[FRAG] | including | not least 
[ADJP] | compensatory | not compulsory 
[ADJP] | different | not equal 
[ADJP] | deficient | not sufficient 
[NP] | neither | not one 
[FRAG] | wrong | not good 
[ADJP] | anomalous | not normal 
[X] | not | no , i did n't 
[X] | not | , right 
[ADJP] | false | not correct 
[ADVP] | soon | not too long 
[NP] | lack | not enough 
[X] | less | not so 
[INTJ] | not | no , man 
[X] | not | no , man 
[ADJP] | unsatisfactory | not enough 
[ADJP] | particularly | not least 
[NP] | few | not much 
[X] | not | no , you do n't 
[ADJP] | false | not , dude 
[X] | not | it fails 
[ADJP] | counterfeit | not true 
[ADVP] | later | not now 
[FRAG] | later | not now 
[S] | not | no , we do n't 
[X] | not | no , we do n't 
[X] | not | of non- 
[ADVP] | nearby | not far from here 
[ADVP] | nearby | not far 
[X] | not | just not 
[ADVP] | shortly | not long thereafter 
[VP] | not | are n't i 
[X] | not | are n't i 
[ADJP] | shite | not jaydee 
[X] | not | no , i have n't 
[ADJP] | unusual | not normal 
[ADJP] | dishonest | not fair 
[ADVP] | shortly | not long afterward 
[X] | not | please do 
[X] | not | no , do n't 
[X] | not | do n't they 
[ADVP] | same | not even 
[X] | not | don t 
[ADJP] | inadequate | not satisfactory 
[X] | not | ca n't 
[ADJP] | needless | not useful 
[ADVP] | unfortunately | not literally 
[ADJP] | erroneous | not correct 
[ADJP] | ineligible | not permissible 
[ADJP] | insignificant | not very important 
[ADJP] | wrong | not fair 
[ADJP] | ordinary | not terrible , but not great 
[ADJP] | sore | not significant 
[ADJP] | prohibited | not permissible 
[ADVP] | earlier | not long ago 
[ADVP] | only | not but 
[X] | not | ai n't 
[X] | not | nor do 
[ADJP] | substantial | not insignificant 
[NP] | -nothing | not a thing 
[ADJP] | disrespectful | not polite 
[X] | not | n't i 
[ADJP] | groundless | not well-founded 
[ADJP] | unsatisfactory | not sufficient 
[ADJP] | pointless | not applicable 
[ADVP] | either | not even 
[ADVP] | recently | not so long ago 
[ADJP] | non-existent | not available 
[NP] | n.a. | not applicable 
[ADJP] | impossible | not practicable 
[X] | not | no , you 're not 
[X] | not | are n't you 
[ADJP] | expensive | not cheap 
[ADJP] | unwell | not suitable 
[ADVP] | least | not so much 
[ADJP] | little | not enough 
[ADJP] | good | not bad 
[X] | not | i do n't 
[ADJP] | ridiculous | not pregnant 
[VP] | not | are n't you 
[X] | not | did n't it 
[ADVP] | less | not so 
[ADJP] | non-mandatory | not mandatory 
[ADJP] | unsure | not sure 
[ADJP] | nude | not polite 
[ADJP] | ineffectual | not effective 
[ADVP] | improperly | not well 
[ADJP] | unsuccessful | not successful 
[ADVP] | anymore | not at all 
[ADJP] | compensatory | not obligatory 
[VP] | not | ai n't it 
[X] | not | ai n't it 
[NP] | everybody | not everyone 
[NP] | nothing | not much 
[ADJP] | fake | not , dude 
[VP] | not | is n't he 
[X] | not | is n't he 
[X] | also | not least 
[ADJP] | huh | not true 
[FRAG] | huh | not true 
[ADJP] | furious | not happy 
[ADJP] | sufficient | not enough 
[NP] | scraps | not much 
[ADJP] | doubtful | not sure 
[X] | ≤ | not more than 
[VP] | not | did n't he 
[X] | not | did n't he 
[ADJP] | unworkable | not practical 
[X] | not | i right 
[ADVP] | few | not very 
[X] | not | do n't i 
[X] | not | the non- 
[X] | not | do n't it 
[X] | not | no , it is n't 
[NP] | never | not a chance 
[ADJP] | inadmissible | not eligible 
[X] | not | that 's not 
[ADJP] | minimal | not significant 
[ADJP] | trivial | not significant 
[ADJP] | non-applicable | not relevant 
[X] | not | no , i wo n't 
[ADJP] | non-mandatory | not compulsory 
[X] | not | be unable 
[ADJP] | vague | not precise 
[X] | not | n't a 
[X] | not | do nothing 
[X] | not | did n't you 
[X] | not | no , it 's not 
[ADJP] | aground | not successful 
[ADVP] | good | not bad 
[ADVP] | not | well , not 
[X] | not | well , not 
[X] | not | certainly not 
[ADVP] | quite | not bad 
[ADJP] | inoperative | not operational 
[ADJP] | shortly | not too distant 
[ADVP] | hardly | not at all 
[ADVP] | never | not once 
[X] | not | ... not 
[INTJ] | not | um , no 
[X] | not | um , no 
[X] | not | non of 
[ADJP] | impermissible | not acceptable 
[NP] | ever | not a chance 
[ADJP] | inconsistent | not supported 
[ADJP] | worthless | not necessary 
[X] | not | 'm not 
[X] | not | pas de 
[X] | not | no such 
[ADJP] | wrong | not ok 
[NP] | recently | not long 
[ADVP] | nor | not even 
[X] | not | 're not 
[X] | not | nor does 
[ADJP] | notably | not least 
[ADVP] | soon | not long thereafter 
[X] | not | , do n't 
[ADJP] | unexceptable | not acceptable 
[ADJP] | unjustified | not reasonable 
[X] | not | non ‑ 
[ADJP] | fine | not bad 
[VP] | not | was n't it 
[X] | not | was n't it 
[NP] | bit | not long 
[ADJP] | cool | not bad 
[ADVP] | soon | not long afterward 
[ADVP] | beyond | not only 
[ADJP] | smaller | not as important 
[X] | not | either not 
[ADJP] | bad | not right 
[ADVP] | ani | not even 
[ADJP] | considerable | not less 
[ADJP] | creepy | not jaydee 
[ADJP] | enough | not sufficient 
[X] | not | are n't 
[X] | not | of failing 
[ADJP] | unwise | not reasonable 
[ADJP] | fake | not correct 
[S] | n't | not to 
[X] | not | otherwise of 
[ADVP] | recently | not long 
[S] | not | did n't you 
[VP] | not | did n't you 
[ADJP] | futile | not necessary 
[ADJP] | insecure | not safe 
[NP] | nothing | not a word 
[ADJP] | cher | not cheap 
[X] | not | refrain from 
[ADJP] | mostly | not least 
[FRAG] | mostly | not least 
[ADJP] | modest | not many 
[SBAR] | not | do n't i 
[VP] | not | are n't we 
[X] | not | are n't we 
[S] | not | it 's not 
[ADJP] | dormant | not active 
[X] | not | , is n't it 
[S] | not | i right 
[ADJP] | pissed | not happy 
[X] | not | don " t 
[VP] | not | does n't he 
[X] | not | does n't he 
[X] | not | lack of 
[X] | not | why , no 
[X] | not | do n't we 
[ADVP] | often | not infrequently 
[X] | not | n't we 
[ADJP] | cute | not bad 
[ADVP] | few | not much 
[ADJP] | impracticable | not realistic 
[ADVP] | moreover | not only that 
[ADVP] | bit | not long 
[ADJP] | unacceptable | not right 
[X] | not | , nor 
[ADJP] | insufficient | not satisfactory 
[ADVP] | obviously | not surprisingly 
[ADVP] | not | not just 
[X] | not | i wo n't 
[ADVP] | hard | not easily 
[NP] | no-one | not one 
[X] | not | does nothing 
[VP] | not | did n't l 
[X] | less | not so much 
[ADVP] | just | not only 
[ADJP] | shortly | not much 
[ADVP] | shortly | not much 
[NP] | shortly | not much 
[ADVP] | neither | not even 
[S] | unspecified | not specified 
[ADJP] | substantial | not inconsiderable 
[ADJP] | unspent | not used 
[ADJP] | substantial | not negligible 
[X] | not | not just 
[X] | not | no longer 
[ADJP] | deficient | not enough 
[NP] | not | no way 
[X] | not | 's no 
[X] | not | it failed to 
[ADJP] | unhappy | not satisfied 
[X] | not | n't from 
[X] | not | don " 
[NP] | everyone | not everybody 
[NP] | inadequacy | not enough 
[ADJP] | flawed | not perfect 
[ADJP] | fucked-up | not jaydee 
[ADJP] | least | not as important 
[S] | not | you do n't 
[ADJP] | limited | not many 
[ADVP] | away | not there 
[ADVP] | not | n't even 
[ADJP] | difficult | not simple 
[ADJP] | infeasible | not possible 
[ADVP] | besides | not only 
[X] | only | not but 
[ADJP] | unfeasible | not possible 
[ADVP] | poorly | not sufficiently 
[ADJP] | non-binding | not mandatory 
[ADJP] | much | not less 
[ADVP] | much | not less 
[X] | not | no , they wo n't 
[ADJP] | false | not right 
[ADVP] | unacceptably | not acceptable 
[ADJP] | indefensible | not sustainable 
[ADJP] | fraudulent | not true 
[ADJP] | insensitive | not cool 
[ADJP] | inappropriate | not suitable 
[ADJP] | impracticable | not possible 
[X] | not | of non 
[X] | not | not part 
[X] | not | it does n't 
[VP] | not | did n't we 
[X] | not | did n't we 
[X] | not | oh , not 
[X] | not | , without 
[X] | not | it failed 
[X] | not | have n't 
[ADVP] | shortly | not very 
[X] | not | n't he 
[X] | not | no , you did n't 
[ADJP] | inappropriate | not correct 
[ADJP] | premature | not appropriate 
[ADVP] | around | not far 
[X] | not | without a 
[ADJP] | unable | not impossible 
[ADJP] | unclear | not obvious 
[ADJP] | unworkable | not applicable 
[ADVP] | equal | not less 
[X] | not | not go 
[VP] | not | ai n't 
[X] | not | no , they do n't 
[ADJP] | non-binding | not compulsory 
[VP] | not | is n't she 
[X] | not | is n't she 
[ADVP] | not | not even 
[X] | not | no , i was n't 
[ADVP] | no | not yet 
[ADJP] | anomalous | not right 
[ADVP] | now | not anymore 
[ADJP] | under-inclusive | not complete 
[ADJP] | separate | not equal 
[VP] | not | 's not 
[ADVP] | logically | not surprisingly 
[ADVP] | shortly | not very long 
[ADVP] | understandably | not surprisingly 
[X] | not | uh ... no 
[ADJP] | impermissible | not permissible 
[ADJP] | refused | not accepted 
[ADJP] | disappointing | not satisfactory 
[X] | not | no , she did n't 
[TOP] | wonderful | not bad , huh ? 
[ADJP] | inexact | not correct 
[INTJ] | not | hell , no 
[X] | not | hell , no 
[ADJP] | poor | not good 
[X] | not | without any 
[INTJ] | not | ah , no 
[ADVP] | inadequately | not well 
[X] | not | would n't it 
[X] | not | they do n't 
[ADVP] | shortly | not so long 
[X] | not | ai n't i 
[ADVP] | beyond | not just 
[ADJP] | worthless | not useful 
[ADJP] | elusive | not precise 
[ADJP] | unspecified | not determined 
[ADJP] | blameless | not guilty 
[X] | not | of failing to 
[X] | not | ai n't he 
[ADJP] | lesser | not as important 
[X] | not | no , actually 
[ADJP] | unhelpful | not necessary 
[X] | not | n't do it 
[S] | not | i wo n't 
[ADJP] | impassable | not practical 
[X] | not | you wo n't 
[ADJP] | unenforceable | not applicable 
[X] | not | none of 
[ADJP] | uncertain | not clear 
[ADJP] | implausible | not likely 
[X] | not | no , you wo n't 
[ADVP] | net | not even 
[X] | no | not yet 
[ADJP] | unattainable | not possible 
[ADJP] | ill-advised | not reasonable 
[ADJP] | crazy | not normal 
[NP] | not | no means 
[ADJP] | futile | not useful 
[X] | not | is without 
[X] | not | no , it does n't 
[ADJP] | evil | not good 
[ADJP] | eh | not true 
[INTJ] | not | oh , no , no 
[X] | not | oh , no , no 
[ADJP] | unwell | not appropriate 
[ADJP] | n.d. | not available 
[ADJP] | invalid | not ok 
[ADJP] | negligeable | not significant 
[X] | not | it is n't 
[X] | not | will never 
[ADJP] | untrue | not right 
[X] | not | never been 
[INTJ] | not | oh no 
[VP] | not | oh no 
[X] | not | oh no 
[X] | not | could n't 
[X] | not | still not 
[X] | not | does n't she 
[X] | not | not such 
[NP] | shortly | not long 
[ADJP] | objectionable | not acceptable 
[ADJP] | mad | not crazy 
[ADVP] | poorly | not adequately 
[ADVP] | out | not here 
[ADJP] | other | not limited to 
[ADJP] | right | not , grandpa 
[X] | not | not really 
[ADVP] | incorrectly | not well 
[X] | not | to fail to 
[X] | not | not simply 
[ADJP] | trivial | not important 
[ADVP] | inevitably | not unexpectedly 
[ADJP] | harsh | not cool 
[S] | not | 's not 
[X] | alia | not limited 
[X] | not | no , she 's not 
[X] | not | not even 
[ADJP] | unequivocal | not subject to appeal 
[ADVP] | both | not just 
[X] | not | really do 
[ADVP] | late | not later 
[ADVP] | sometimes | not always 
[ADJP] | nonexistent | not available 
[VP] | not | are n't they 
[X] | not | are n't they 
[ADJP] | baseless | not valid 
[ADJP] | open | not allocated 
[ADVP] | anymore | not now 
[ADJP] | unhelpful | not useful 
[ADJP] | ineffective | not valid 
[ADJP] | undetermined | not specified 
[X] | not | n't make 
[X] | not | they fail to 
[X] | not | should n't 
[X] | not | we do n't 
[X] | not | and nor 
[ADJP] | short | not many 
[ADVP] | little | not well 
[ADVP] | gee | not excessively 
[ADJP] | ineffective | not operational 
[ADJP] | nothing | not much 
[ADVP] | nothing | not much 
[ADJP] | ok | not serious 
[ADVP] | equally | not less 
[S] | not | no 's 
[ADJP] | hard | not obvious 
[ADJP] | minor | not significant 
[ADVP] | damn | not excessively 
[X] | not | otherwise than 
[X] | not | does nothing to 
[ADJP] | unwell | not good 
[X] | not | no , we 're not 
[ADJP] | tough | not obvious 
[ADVP] | insufficiently | not long enough 
[ADVP] | hardly | not quite 
[X] | not | n't be 
[ADJP] | mainly | not least 
[X] | not | it ai n't 
[ADJP] | logical | not surprising 
[X] | not | this is n't 
[X] | just | not but 
[ADVP] | not | not simply 
[ADVP] | shortly | not long ago 
[ADJP] | wrong | not gonna 
[ADVP] | then | not really so 
[X] | not | not something 
[X] | denied | not accepted 
[ADJP] | unimportant | not significant 
[X] | not | really not 
[X] | not | had failed 
[X] | not | 4 no 
[X] | not | no way 
[ADJP] | determining | not determined 
[ADJP] | inhuman | not suitable 
[X] | not | nothing to 
[INTJ] | not | no , uh 
[ADJP] | unbearable | not sustainable 
[X] | not | oh , do 
[INTJ] | not | no. no 
[X] | not | absence of 
[ADJP] | few | not long 
[ADVP] | few | not long 
[NP] | few | not long 
[NP] | none | not applicable 
[TOP] | none | not applicable 
[ADVP] | shortly | not too long ago 
[ADJP] | easier | not as easy 
[NP] | little | not enough 
[NP] | not | a lack 
[X] | not | the non 
[ADJP] | impractical | not impossible 
[ADVP] | not | either not 
[NP] | n | not applicable 
[ADJP] | harmful | not safe 
[X] | not | n't to 
[X] | not | not fail 
[ADVP] | bad | not adequately 
[INTJ] | not | no , ma 'am 
[X] | not | no , ma 'am 
[ADVP] | nonetheless | not less 
[X] | not | , do n't you 
[TOP] | na | not applicable 
[SBAR] | not | i do n't 
[S] | not | i do n't 
[X] | more | not either 
[ADJP] | primarily | not least 
[X] | not | , did n't i 
[ADJP] | impossible | not available 
[NP] | shortage | not enough 
[ADJP] | untenable | not acceptable 
[ADJP] | meaningless | not important 
[FRAG] | possible | not impossible 
[X] | not | no , he did n't 
[X] | not | oh , no , not 
[ADJP] | unhealthy | not good 
[ADVP] | minus | not as 
[X] | not | just does 
[INTJ] | not | mm , no 
[ADJP] | immaterial | not significant 
[X] | only | not until 
[ADJP] | underpaid | not sufficient 
[INTJ] | not | n- no 
[VP] | not | are n't l 
[X] | not | which fail 
[ADJP] | forbidden | not permissible 
[X] | not | please do n't 
[X] | not | no ... no 
[ADJP] | little | not well 
[ADJP] | okay | not hungry 
[X] | not | not be able 
[ADVP] | soon | not very long 
[X] | not | was n't 
[X] | not | not now 
[ADJP] | intolerable | not sustainable 
[X] | not | still do 
[ADVP] | apart | not only 
[ADJP] | improper | not right 
[X] | not | not be allowed 
[X] | not | ... no 
[VP] | not | did n't 
[X] | not | has failed 
[X] | not | , non 
[FRAG] | nice | not too bad 
[ADJP] | questionable | not sure 
[ADVP] | nearly | not far 
[ADJP] | dicey | not safe 
[ADVP] | only | not just 
[ADJP] | possible | not impossible 
[X] | not | that do n't 
[ADJP] | unacceptable | not admissible 
[ADJP] | unable | not feasible 
[ADVP] | soon | not so long 
[X] | not | then not 
[X] | not | proceed without 
