 not sufficient 	 insufficient 
 not elsewhere 	 no 
 not workable 	 unworkable 
 not desirable 	 inappropriate 
 not available 	 non-respendable 
 not now 	 no 
 not part 	 no 
 not feasible 	 inadmissible 
 not significant 	 substantial 
 not sustainable 	 untenable 
 not sufficiently 	 adequately 
 not important 	 irrelevant 
 invalid 	 not valid 
 excluded 	 not included 
 not true 	 no 
 unsustainable 	 not sustainable 
 not polite 	 impolite 
 not fail 	 not 
 not good 	 no 
 not available 	 nonexistent 
 not everything 	 nothing 
 not right 	 -not 
 not far 	 no 
 not go 	 not 
 not sustainable 	 intolerable 
 not feasible 	 unavoidable 
 not sustainable 	 indefensible 
 not impossible 	 unfeasible 
 no new 	 not 
 not credible 	 unreliable 
 not true 	 inaccurate 
 not usually 	 no 
 not now 	 no 
 not permissible 	 objectionable 
 not practicable 	 obtainable 
 not maintain 	 no 
 not everyone 	 no-one 
 's no 	 not 
 not useful 	 helpful 
 not compulsory 	 compensatory 
 not impossible 	 possible 
 not satisfactory 	 insufficient 
 not now 	 not 
 no man 	 not 
 not available 	 impossible 
 not right 	 not 
 not difficult 	 rough 
 no such 	 not 
 not available 	 non-existent 
 not able 	 not 
 not necessarily 	 not 
 incomplete 	 not complete 
 not feasible 	 impractical 
 not surprisingly 	 understandably 
 not adequate 	 deficient 
 not acceptable 	 inconceivable 
 perhaps not 	 not 
 not impossible 	 plausible 
 not create 	 no 
 not one 	 none 
 not clear 	 uncertain 
 not possible 	 impossible 
 identify 	 not determined 
 living 	 not alive 
 insufficient 	 not enough 
 not included 	 excluded 
 not insignificant 	 noticeable 
 not compulsory 	 non-mandatory 
 not here 	 not 
 not permissible 	 inadmissible 
 not protected 	 protection 
 not uncommon 	 commonplace 
 not merely 	 simply 
 not acceptable 	 reprehensible 
 no further 	 not 
 definitely not 	 not 
 not exactly 	 actually 
 not hard 	 straightforward 
 not true 	 correct 
 not likely 	 no 
 absolutely no 	 not 
 not feasible 	 inappropriate 
 not feasible 	 insufferable 
 not difficult 	 simple 
 not impossible 	 unattainable 
 not correct 	 accurate 
 not responsible 	 responsibility 
 not impossible 	 unpredictable 
 not applicable 	 irrelevant 
 not permissible 	 admissible 
 not reasonable 	 unconscionable 
 not serious 	 ridiculous 
 not suitable 	 inadequate 
 not there 	 here 
 not practical 	 realistic 
 not quite 	 somewhat 
 not possible 	 practicable 
 not happen 	 not 
 not difficult 	 convenient 
 not difficult 	 easy 
 not difficult 	 easier 
 not yet 	 still 
 not really 	 genuinely 
 unauthorized 	 not authorized 
 not permissible 	 unconscionable 
 not now 	 no 
 not available 	 unattainable 
 not enough 	 insufficient 
 not impossible 	 unavailable 
 not containing 	 not 
 no less 	 not 
 not surprisingly 	 obviously 
 not surprisingly 	 certainly 
 inadmissible 	 not admissible 
 not inconsiderable 	 substantial 
 not again 	 not 
 not enough 	 adequate 
 not enough 	 sufficiently 
 not impossible 	 feasible 
 not practicable 	 impractical 
 not sustainable 	 unattainable 
 not impossible 	 practicable 
 not sustainable 	 unaffordable 
 not easy 	 straightforward 
 not feasible 	 unpredictable 
 not even 	 nor 
 not come 	 not 
 not anything 	 nothing 
 not correct 	 improper 
 not essential 	 unimportant 
 not too 	 no 
 not provide 	 no 
 not anymore 	 no 
 nor any 	 not 
 not harmful 	 harmless 
 not satisfactory 	 substandard 
 not practicable 	 unachievable 
 not sustainable 	 unacceptable 
 not impossible 	 attainable 
 not correct 	 untrue 
 not infrequently 	 often 
 not appropriate 	 improper 
 not use 	 not 
 not possible 	 inconceivable 
 not perfect 	 inadequate 
 not normal 	 abnormal 
 uncompetitive 	 not competitive 
 unlikely 	 not likely 
 not possible 	 infeasible 
 not impossible 	 conceivable 
 impossible 	 not feasible 
 not insignificant 	 notable 
 not impossible 	 miserable 
 not unusual 	 normal 
 not readable 	 unreadable 
 not determined 	 identify 
 not come 	 no 
 not put 	 not 
 not accurate 	 incorrect 
 not applicable 	 impossible 
 non-negotiable 	 not negotiable 
 not sustainable 	 impossible 
 not right 	 correct 
 not alive 	 living 
 not unusual 	 commonplace 
 not sustainable 	 tenable 
 not simple 	 complex 
 s not 	 not 
 not desirable 	 unacceptable 
 not applicable 	 non-applicable 
 lies not 	 not 
 catalogue no 	 not 
 not accessible 	 unavailable 
 not practicable 	 unworkable 
 not unreasonable 	 sensible 
 not acceptable 	 unconscionable 
 not true 	 false 
 not go 	 no 
 not reasonable 	 unfair 
 not appropriate 	 incorrect 
 not much 	 little 
 not user-friendly 	 inconvenient 
 imperfect 	 not perfect 
 impracticable 	 not practicable 
 not acceptable 	 unbearable 
 not enough 	 adequately 
 not impossible 	 unachievable 
 and nothing 	 not 
 not again 	 not 
 not elsewhere 	 not 
 not permissible 	 indefensible 
 dissatisfied 	 not satisfied 
 not inconsiderable 	 significant 
 not necessary 	 inappropriate 
 not practicable 	 unfeasible 
 not permissible 	 intolerable 
 not compatible 	 consistent 
 not correct 	 false 
 not here 	 no 
 not realistic 	 impractical 
 not authorized 	 unauthorized 
 not so 	 instead 
 not available 	 not 
 not practicable 	 unattainable 
 impracticable 	 not feasible 
 not acceptable 	 unreasonable 
 not available 	 absent 
 not acceptable 	 admissible 
 not acceptable 	 indefensible 
 not guilty 	 innocent 
 not satisfactory 	 deficient 
 not include 	 includes 
 not sustainable 	 unbearable 
 do n't 	 not 
 not otherwise 	 -no 
 not ideal 	 unsatisfactory 
 not gonna 	 -not 
 not applicable 	 unenforceable 
 not insignificant 	 major 
 inadequate 	 not sufficient 
 not impossible 	 impractical 
 not allowed 	 not 
 not permissible 	 unacceptable 
 not eligible 	 objectionable 
 not acceptable 	 insupportable 
 not adequate 	 under-funded 
 nothing to 	 not 
 not feasible 	 incredible 
 not but 	 just 
 not acceptable 	 undesirable 
 not possible 	 impracticable 
 not feasible 	 miserable 
 not merely 	 solely 
 surprised 	 not surprising 
 not true 	 wrong 
 not operational 	 inactive 
 not impossible 	 obtainable 
 not significant 	 small 
 not simply 	 merely 
 not gonna 	 no 
 not effective 	 inefficient 
 not available 	 impracticable 
 neither a 	 not 
 not permissible 	 forbidden 
 not bad 	 nice 
 not readily 	 easily 
 not easy 	 impossible 
 not least 	 notably 
 be without 	 not 
 are without 	 not 
 not acceptable 	 unsustainable 
 unimportant 	 not important 
 not sufficiently 	 inadequately 
 order not 	 not 
 not sustainable 	 unworkable 
 challenging 	 not difficult 
 not impossible 	 unable 
 not easy 	 uneasy 
 not impossible 	 untenable 
 not unusual 	 common 
 not likely 	 not 
 not practicable 	 insufferable 
 not large 	 insignificant 
 not impossible 	 insufferable 
 not sure 	 unsure 
 not inconsiderable 	 vast 
 not see 	 not 
 not less 	 considerable 
 n't any 	 not 
 not likely 	 unlikely 
 no means 	 not 
 not possible 	 not 
 not surprisingly 	 naturally 
 should n't 	 not 
 not everyone 	 anyone 
 not appropriate 	 undesirable 
 not relevant 	 inappropriate 
 not easy 	 simple 
 not surprisingly 	 predictably 
 not sufficient 	 insignificant 
 not but 	 only 
 uncool 	 not cool 
 not use 	 no 
 not permissible 	 inexcusable 
 not appropriate 	 wrong 
 not permissible 	 inappropriate 
 not transparent 	 unclear 
 not bad 	 decent 
 do nothing 	 not 
 does nothing 	 not 
 not surprisingly 	 self-evidently 
 not exactly 	 hardly 
 not difficult 	 cheap 
 not 	 's not 
 not right 	 erroneous 
 not later 	 before 
 not surprisingly 	 evidently 
 not okay 	 no 
 representation 	 not represented 
 not surprisingly 	 however 
 not appropriate 	 inconvenient 
 not impossible 	 achievable 
 choose not 	 not 
 not significant 	 unimportant 
 not under 	 not 
 not less 	 least 
 not feasible 	 terrible 
 'm not 	 not 
 not easy 	 difficult 
 no yes 	 not 
 not complete 	 partial 
 not adequate 	 poor 
 not including 	 no 
 not include 	 no 
 not available 	 irrelevant 
 not permissible 	 off-limits 
 not less 	 significant 
 nor can 	 not 
 unchanged 	 not changed 
 not support 	 not 
 not compulsory 	 optional 
 not satisfied 	 dissatisfied 
 not difficult 	 simplistic 
 not significant 	 inconsiderable 
 not enough 	 insufficient 
 not difficult 	 comfortable 
 not so 	 neither 
 not sufficient 	 inappropriate 
 not ideal 	 satisfactory 
 not constitute 	 not 
 not merely 	 just 
 not applicable 	 unattainable 
 unfair 	 not fair 
 not mandatory 	 compensatory 
 not but 	 simply 
 not admissible 	 ineligible 
 unpublished 	 not published 
 not even 	 neither 
 not compatible 	 contradictory 
 restricted 	 not limited 
 not reasonable 	 absurd 
 not set 	 not 
 not include 	 not 
 not under 	 no 
 not surprising 	 understandable 
 not acceptable 	 inexcusable 
 not later 	 late 
 not significant 	 irrelevant 
 not surprisingly 	 admittedly 
 not least 	 particular 
 not less 	 nevertheless 
 not operational 	 inoperative 
 not correct 	 mistaken 
 not less 	 significantly 
 not big 	 insignificant 
 not only 	 additionally 
 not work 	 no 
 not least 	 less 
 not well-founded 	 groundless 
 not bad 	 not 
 not satisfactory 	 incomplete 
 restricted 	 not permissible 
 not right 	 not 
 not surprising 	 surprised 
 not but 	 alone 
 intolerable 	 not acceptable 
 not least 	 also 
 not waste 	 no 
 not one 	 neither 
 not acceptable 	 unjustifiable 
 not impossible 	 hopeless 
 not impossible 	 unworkable 
 not hard 	 difficult 
 not significant 	 slight 
 not difficult 	 challenging 
 inaccurate 	 not accurate 
 not acceptable 	 unsatisfactory 
 not just 	 only 
 not cheap 	 expensive 
 not changed 	 unchanged 
 nothing , 	 not 
 not represent 	 not 
 not one 	 nothing 
 not very 	 quite 
 not operational 	 inoperable 
 not easy 	 inconvenient 
 not simply 	 just 
 not fair 	 unjust 
 , nor 	 not 
 publication 	 not published 
 earlier 	 not later 
 not significant 	 minimal 
 not surprisingly 	 clearly 
 not completely 	 fully 
 not subject 	 not 
 non-discriminatory 	 not discriminatory 
 not right 	 inaccurate 
 not right 	 fair 
 not say 	 not 
 not surprisingly 	 appropriately 
 not so 	 nope 
 not valid 	 ineffective 
 not even 	 ever 
 non-binding 	 not binding 
 not really 	 terribly 
 not reasonable 	 illogical 
 not equal 	 distinct 
 not later 	 sooner 
 not otherwise 	 non 
 not adequate 	 incomplete 
 not everyone 	 everybody 
 maybe not 	 not 
 not polite 	 disrespectful 
 not true 	 accurate 
 not difficult 	 smooth 
 not reasonable 	 irrational 
 n't , 	 not 
 not less 	 substantial 
 not enough 	 unsatisfactory 
 not satisfactory 	 poor 
 not uncommon 	 unusual 
 not acceptable 	 unthinkable 
 discussion 	 not discussed 
 indeterminate 	 not determined 
 not quite 	 really 
 not acceptable 	 wrong 
 not much 	 insufficient 
 not sustainable 	 unavailable 
 not published 	 unpublished 
 not necessarily 	 non 
 not high 	 low 
 not long 	 no 
 not unreasonable 	 affordable 
 not available 	 unfeasible 
 not permissible 	 ineligible 
 not easy 	 tough 
 not much 	 few 
 not everybody 	 everyone 
 not represented 	 representation 
 not acceptable 	 not 
 no 	 not given 
 not easy 	 convenient 
 or less 	 not 
 no thanks 	 not 
 no question 	 not 
 not so 	 less 
 not really 	 neither 
 not available 	 miserable 
 prohibited 	 not permissible 
 not gonna 	 not 
 significant 	 not insignificant 
 not admissible 	 non-compliant 
 not complete 	 inadequate 
 not even 	 furthermore 
 not limited 	 restricted 
 not impossible 	 unlikely 
 not adequately 	 inappropriately 
 not useful 	 unhelpful 
 not unreasonable 	 rational 
 not available 	 insufficient 
 not eligible 	 inadmissible 
 not bad 	 satisfactory 
 not equal 	 different 
 not true 	 fraudulent 
 not appropriate 	 unsatisfactory 
 not inconsiderable 	 large 
 not unreasonable 	 reasonnable 
 not reasonable 	 unjustified 
 not precise 	 inaccurate 
 not determined 	 indeterminate 
 not useful 	 inappropriate 
 not adequately 	 ineffectively 
 discerning 	 not determined 
 not receivable 	 impermissible 
 not quite 	 -no 
 not later 	 previously 
 not possible 	 obtainable 
 not necessary 	 worthwhile 
 not provided 	 not 
 not provide 	 not 
 nothing of 	 not 
 not less 	 still 
 not ideal 	 undesirable 
 not quite 	 no. 
 not possible 	 achievable 
 unfounded 	 not well-founded 
 not insignificant 	 sizeable 
 not available 	 unreachable 
 not show 	 no 
 not adequate 	 unsatisfactory 
 not so 	 still 
 not surprisingly 	 inevitably 
 not admissible 	 unacceptable 
 not workable 	 impossible 
 not there 	 around 
 not given 	 no 
 not work 	 not 
 not satisfactory 	 unacceptable 
 not difficult 	 pleasant 
 not true 	 erroneous 
 not easy 	 tricky 
 not right 	 true 
 not inconsiderable 	 wide-ranging 
 not getting 	 not 
 not get 	 not 
 irrelevant 	 not relevant 
 not fair 	 inequitable 
 not 	 is n't 
 not 	 are n't 
 not 	 were n't 
 not 	 was n't 
 not dangerous 	 harmless 
 not sufficient 	 scarce 
 not difficult 	 easiest 
 not practical 	 feasible 
 not much 	 insignificant 
 not cool 	 uncool 
 nor the 	 not 
 not possible 	 difficult 
 not later 	 beforehand 
 not enough 	 short 
 not sufficient 	 less 
 not least 	 particularly 
 not elsewhere 	 not 
 not adequately 	 insufficiently 
 not unreasonable 	 manageable 
 not acceptable 	 improper 
 not 	 otherwise provided 
 not inconsiderable 	 broad 
 not appropriate 	 irrelevant 
 not least 	 specifically 
 not realistic 	 practical 
 not even 	 either 
 not valid 	 non-compensatory 
 not significant 	 tiny 
 unreliable 	 not reliable 
 not inconsiderable 	 extensive 
 not 	 not allowed 
 not unexpectedly 	 unsurprisingly 
 not real 	 surreal 
 not permissible 	 receivable 
 not possible 	 unfeasible 
 not really 	 barely 
 not enough 	 inadequate 
 not permissible 	 restricted 
 not appropriate 	 unfortunate 
 less so 	 not 
 , neither 	 not 
 not much 	 enough 
 not right 	 outrageous 
 not significant 	 trivial 
 not determined 	 discerning 
 not important 	 immaterial 
 not practicable 	 miserable 
 not significant 	 minor 
 not really 	 just 
 not 	 not containing 
 could n't 	 not 
 not practical 	 unrealistic 
 not equal 	 separate 
 no vote 	 not 
 not enough 	 impossible 
 not completely 	 almost 
 undetermined 	 not determined 
 not enough 	 less 
 not acceptable 	 insufferable 
 not elsewhere 	 -no 
 not admissible 	 irrelevant 
 n't do 	 not 
 not easy 	 user-friendly 
 not necessary 	 extraneous 
 not acceptable 	 unexceptable 
 impractical 	 not practical 
 not really 	 real 
 not permitted 	 not 
 not readable 	 illegible 
 not possible 	 unacceptable 
 do n't 	 not 
 does n't 	 not 
 did n't 	 not 
 not everything 	 anything 
 not correct 	 faulty 
 not right 	 improper 
 not obvious 	 difficult 
 not very 	 little 
 not effective 	 ineffectual 
 not practicable 	 unavailable 
 not only 	 certainly 
 not simply 	 solely 
 not acceptable 	 unbelievable 
 not uncommon 	 prevalent 
 not unreasonable 	 foolish 
 not sufficient 	 poor 
 not often 	 frequently 
 not surprisingly 	 reasonably 
 not right 	 false 
 not even 	 nonetheless 
 not acceptable 	 receivable 
 not less 	 considerably 
 not one 	 nobody 
 not relevant 	 immaterial 
 not really 	 honestly 
 not determined 	 undetermined 
 not possible 	 unachievable 
 not amended 	 unamended 
 not obligatory 	 compensatory 
 not large 	 modest 
 not feasible 	 elusive 
 n't nothing 	 not 
 not correct 	 irrelevant 
 oh no 	 not 
 not impossible 	 practicable 
 not enough 	 few 
 n't there 	 not 
 not acceptable 	 ineligible 
 not published 	 publication 
 unavailable 	 not available 
 unamended 	 not amended 
 no thanks 	 not 
 n't be 	 not 
 n't been 	 not 
 not least 	 also 
 not unexpectedly 	 predictably 
 are neither 	 not 
 not adequate 	 short 
 not right 	 extraordinary 
 not acceptable 	 obscene 
 not easy 	 problematic 
 not permissible 	 prohibited 
 not true 	 disingenuous 
 not much 	 short 
 - nothing 	 not 
 not right 	 impermissible 
 unspecified 	 not specified 
 not eligible 	 unconscionable 
 not useful 	 worthwhile 
 not really 	 -no 
 no 	 not wearing 
 not true 	 right 
 not sufficiently 	 poorly 
 not necessarily 	 inevitably 
 not only 	 most 
 not realistic 	 impracticable 
 not only 	 simply 
 not appropriate 	 bad 
 not acceptable 	 incredible 
 not enough 	 short 
 not applicable 	 unavailable 
 not right 	 unfair 
 not relevant 	 redundant 
 not satisfactory 	 weak 
 otherwise of 	 not 
 not easy 	 easiest 
 not discussed 	 discussion 
 , failed 	 not 
 not adequate 	 weak 
 not feasible 	 unable 
 not compulsory 	 voluntary 
 not right 	 bad 
 do nothing 	 not 
 unknown 	 not known 
 not surprisingly 	 arguably 
 not all 	 everything 
 not binding 	 non-binding 
 decide not 	 not 
 decided not 	 not 
 not uncommon 	 frequent 
 not sufficient 	 incomplete 
 not right 	 irrelevant 
 not useful 	 useless 
 not everyone 	 nobody 
 not acceptable 	 outrageous 
 not necessary 	 irrelevant 
 not quite 	 little 
 not long 	 not 
 not enough 	 little 
 not enough 	 inefficient 
 not applicable 	 inadequate 
 not otherwise 	 nope 
 not admissible 	 invalid 
 unclear 	 not clear 
 nothing but 	 not 
 not sufficient 	 ineffective 
 not least 	 additionally 
 not acceptable 	 unreliable 
 not exactly 	 barely 
 not admissible 	 non-responsive 
 no longer 	 not 
 not identical 	 different 
 not available 	 inadequate 
 not operational 	 ineffective 
 not enough 	 inappropriate 
 not enough 	 satisfactory 
 not possible 	 unlikely 
 not everything 	 things 
 not unusual 	 habitual 
 not everything 	 any 
 not admissible 	 receivable 
 not even 	 still 
 not receivable 	 inadmissible 
 now no 	 not 
 not merely 	 beyond 
 not right 	 reprehensible 
 not unusual 	 routine 
 not surprising 	 normal 
 nor a 	 not 
 not much 	 nothing 
 not yet 	 only 
 not available 	 pointless 
 undefined 	 not defined 
 not comprehensive 	 incomplete 
 not right 	 normal 
 not many 	 few 
 not unreasonable 	 probable 
 not applicable 	 immaterial 
 not 	 is neither 
 not 	 was neither 
 not 	 are neither 
 not easy 	 sophisticated 
 not only 	 exclusively 
 not correct 	 counterfeit 
 not feasible 	 hopeless 
 not until 	 only 
 not easy 	 cumbersome 
 not expected 	 not 
 wo n't 	 not 
 no way 	 not 
 inapplicable 	 not applicable 
 not right 	 alright 
 no way 	 not 
 not acceptable 	 unimaginable 
 not serious 	 irresponsible 
 disappointing 	 not satisfactory 
 not wearing 	 no 
 not enough 	 deficient 
 not safe 	 dangerous 
 not receivable 	 non-compliant 
 not 	 including not 
 not enough 	 so 
 not surprisingly 	 rightly 
 not specified 	 unspecified 
 not simply 	 definitely 
 not true 	 irrelevant 
 not clear 	 ambiguous 
 not infrequently 	 commonly 
 not readily 	 rarely 
 not available 	 unable 
 not difficult 	 lojack 
 not guilty 	 blameless 
 not complete 	 fragmentary 
 not least 	 specific 
 not likely 	 improbable 
 not available 	 unworkable 
 not not 	 don't 
 not everyone 	 none 
 not sufficient 	 indispensable 
 not bad 	 cool 
 not feasible 	 insane 
 not possible 	 inaccessible 
 , non 	 not 
 not relevant 	 non-applicable 
 but without 	 not 
 not only 	 except 
 neither the 	 not 
 not when 	 whenever 
 not available 	 scarce 
 not very 	 somewhat 
 not so 	 just 
 not correct 	 nonsense 
 not cheap 	 pricey 
 not practicable 	 hopeless 
 not unusual 	 customary 
 n't they 	 not 
 not less 	 often 
 not applicable 	 impractical 
 not exhaustive 	 under-inclusive 
 not feasible 	 unlikely 
 not mandatory 	 voluntary 
 not applicable 	 unworkable 
 not mean 	 not 
 not satisfactory 	 questionable 
 not enough 	 inadequately 
 n't to 	 not 
 not think 	 not 
 infeasible 	 not practicable 
 not right 	 untrue 
 inconsistent 	 not supported 
 not true 	 counterfeit 
 not sure 	 uncertain 
 not surprisingly 	 inherently 
 not very 	 recently 
 not right 	 objectionable 
 not known 	 unknown 
 no programme 	 not 
 not possible 	 unattainable 
 not later 	 earlier 
 not useful 	 superfluous 
 not useful 	 counterproductive 
 n't an 	 not 
 no criminal 	 not 
 not possible 	 unavoidable 
 not unreasonable 	 wise 
 nothin ' 	 not 
 not valid 	 mandatory 
 not getting 	 no 
 not only 	 merely 
 not least 	 especially 
 not correct 	 fraudulent 
 no point 	 not 
 not necessary 	 worthless 
 not least 	 furthermore 
 , without 	 not 
 not receivable 	 admissible 
 - nope 	 not 
 not only 	 however 
 not much 	 quite 
 not appropriate 	 unreasonable 
 not correct 	 deficient 
 unnecessary 	 not necessary 
 not fair 	 wrong 
 not only 	 so 
 n't the 	 not 
 not 	 nothing is 
 not much 	 less 
 not defined 	 undefined 
 not right 	 unreasonable 
 not only 	 addition 
 rather than 	 not 
 not much 	 somewhat 
 not acceptable 	 scandalous 
 not correct 	 inexact 
 not adequate 	 defective 
 not only 	 least 
 not satisfactory 	 disappointing 
 not fair 	 right 
 inadequate 	 not enough 
 undemocratic 	 not democratic 
 not precise 	 unclear 
 n't on 	 not 
 not fully 	 incompletely 
 not adequate 	 inefficient 
 not even 	 never 
 not only 	 less 
 not feasible 	 ridiculous 
 not reasonable 	 unjust 
