hydrophilic	hydrophobic
accompanied	unaccompanied
deniable	undeniable
dissimilar	similar
dystopia	utopia
dematerialise	materialise
fit	unfit
demilitarize	militarize
profitably	unprofitably
live_birth	stillbirth
successful	unsuccessful
tender	tough
appealable	unappealable
collateral	lineal
nephew	niece
technophile	technophobe
sedate	stimulate
assertively	unassertively
altered	unaltered
hyperparathyroidism	hypoparathyroidism
anabolic	catabolic
avoid	confront
desynchronise	synchronise
patterned	plain
carnivorous	insectivorous
make	unmake
CISC	RISC
suspected	unsuspected
cheerfully	cheerlessly
generic	varietal
military	unmilitary
tempered	untempered
ascent	descent
pack	unpack
farsighted	nearsighted
employment	unemployment
naturalness	unnaturalness
turned	unturned
castrated	uncastrated
appositeness	inappositeness
Anglophilia	Anglophobia
impaired	unimpaired
fatness	leanness
asset	liability
absent	present
traceable	untraceable
day_school	night_school
feminine	neuter
falsehood	truth
say_farewell	welcome
extrospective	introspective
necessary	unnecessary
refresh	tire
hurried	unhurried
capacity	incapacity
selfishly	unselfishly
declared	undeclared
precedented	unprecedented
consequence	inconsequence
disliked	liked
nonworker	worker
immeasurably	measurably
ahistorical	historical
nonsurgical	surgical
privileged	underprivileged
brand-name_drug	generic_drug
pigeon-toed	splayfooted
acidify	alkalize
functioning	malfunctioning
illiterate	literate
internationalism	nationalism
disreputability	reputability
articulately	inarticulately
focused	unfocused
consideration	inconsideration
adventurous	unadventurous
fixed	unfixed
irreducible	reducible
insubstantial	substantial
compress	decompress
cultivated_plant	weed
frail	robust
evenly	unevenly
file_in	file_out
pronation	supination
chaste	unchaste
multilaterally	unilaterally
imperfectibility	perfectibility
pleasantness	unpleasantness
distinguishable	indistinguishable
gratefully	ungratefully
applied	theoretical
overstate	understate
defensive	offensive
multilateral	unilateral
alterability	unalterability
insincere	sincere
holy	unholy
shapely	unshapely
absolute	relative
yang	yin
nonsmoker	smoker
explicitly	implicitly
fractional	whole
opisthognathous	prognathous
inferior	superior
assigned	unassigned
back_burner	front_burner
commonness	uncommonness
competent	incompetent
ascending_node	descending_node
analogous	heterologous
adoptable	unadoptable
bottom_out	top_out
consciously	unconsciously
critically	uncritically
deoxidize	oxidize
ferned	fernless
existent	nonexistent
applicability	inapplicability
scheduled	unscheduled
hardhearted	softhearted
draftee	volunteer
necessitate	obviate
tastefulness	tastelessness
get_well	get_worse
bad_weather	good_weather
endocentric	exocentric
belted	unbelted
ambiguity	unambiguity
depigmentation	pigmentation
imperceptibility	perceptibility
eligibility	ineligibility
likeness	unlikeness
disunion	union
fallible	infallible
bracteate	ebracteate
multinucleate	uninucleate
anhydrous	hydrous
divisible	indivisible
strength	weakness
achiever	loser
deflation	inflation
laureled	unlaureled
disembarkation	embarkation
quiet	unquiet
nonreligious_person	religious_person
nontechnical	technical
bidirectional	unidirectional
