deferment	ferment
unconvincing	convinceing
unclear	clear
unfolding	folding
decent	cent
injustices	justices
inconspicuous	conspicuous
unworkable	workable
untoward	toward
unconventional	conventional
indivisibility	divisibleility
insure	sure
insurmountable	surmountable
increasingly	creaseingly
unpredictability	predictability
definitive	finitive
depends	pends
increases	creases
unseen	seen
debatable	batable
incompletely	completely
inaccurate	accurate
unchangeable	changeable
inroads	roads
uncontrollable	controlable
insured	sureed
inadequate	adequate
unsavory	savory
unintelligible	intelligible
detail	tail
details	tails
incredibly	credibly
incurred	cured
unfunded	funded
uninsured	insured
unrepresented	represented
demining	mining
uninstall	install
delisting	listin
