 not only [VP/SBAR,1] [SBAR,2] 	 not just [VP/SBAR,1] [SBAR,2] 
 [EX,1] was not enough [NN,2] 	 [EX,1] was insufficient [NN,2] 
 n't have [VBN,1] [NP,2] 	 not have [VBN,1] [NP,2] 
 ai n't my 	 's not my 
 's not [WP,1] [VP,2] 	 is not [WP,1] [VP,2] 
 wo n't do it [.,1] 	 'm not doing it [.,1] 
 the panel [VBZ,1] not 	 the group [VBZ,1] not 
 do not think [SBAR/ADJP,1] 	 do n't think [SBAR/ADJP,1] 
 has not [VP/SBAR,1] since 	 has n't [VP/SBAR,1] since 
 has not yet been [VP,1] 	 has still not been [VP,1] 
 not have [NP,1] of [NP,2] 	 n't have [NP,1] of [NP,2] 
 n't wanna [VB,1] [SBAR,2] 	 not want to [VB,1] [SBAR,2] 
 [NP/PP,1] [IN,2] failing 	 [NP/PP,1] [IN,2] not 
 ai n't [NP\RB,1] 	 's not [NP\RB,1] 
 n't notice [NP,1] 	 not notice [NP,1] 
 [PRP,1] 're not [VP/RB,2] 	 [PRP,1] is not [VP/RB,2] 
 not know who [VP/PP,1] [PP,2] 	 n't know who [VP/PP,1] [PP,2] 
 [NP,1] [VBZ,2] not wish to 	 [NP,1] [VBZ,2] not want to 
 n't know [SBAR/NN,1] [NN,2] 	 not know [SBAR/NN,1] [NN,2] 
 not need a [NN,1] 	 n't need a [NN,1] 
 do n't [VB,1] [S/VB,2] 	 did not [VB,1] [S/VB,2] 
 am not [ADJP/NP,1] [NP/S,2] 	 'm not [ADJP/NP,1] [NP/S,2] 
 you [VBD,1] n't [ADJP,2] 	 you [VBD,1] not [ADJP,2] 
 [NP/NN,1] party has failed [VP/SBAR,2] 	 [NP/NN,1] party has not [VP/SBAR,2] 
 i [MD,1] n't [VP,2] 	 i [MD,1] not [VP,2] 
 should not [VB,1] [DT,2] 	 should n't [VB,1] [DT,2] 
 's [SBAR/VP,1] [VBD,2] n't 	 is [SBAR/VP,1] [VBD,2] not 
 [MD,1] not be justified [PP/PP,2] 	 [MD,1] never be justified [PP/PP,2] 
 - you [VBP,1] n't say 	 - you [VBP,1] not 
 [VBP,1] not believe [PRP,2] ! 	 [VBP,1] n't believe [PRP,2] ! 
 [PRP,1] is not [PP/NNP,2] 	 [PRP,1] 's not [PP/NNP,2] 
 that [NNP,1] would not [VP/S,2] 	 that [NNP,1] wo n't [VP/S,2] 
 [PRP,1] is not only [NP/NP,2] 	 [PRP,1] is not just [NP/NP,2] 
 do n't really [VB,1] [WRB,2] 	 do not really [VB,1] [WRB,2] 
 [PRP,1] 'm not gonna [VP/PP,2] 	 [PRP,1] am not going [VP/PP,2] 
 [VP/VP,1] has failed to [VP/SBAR,2] 	 [VP/VP,1] has not [VP/SBAR,2] 
 who was unable to [VP/PP,1] 	 that he could not [VP/PP,1] 
 is not [ADJP,1] [VP,2] 	 's not [ADJP,1] [VP,2] 
 [VBP,1] not nuts . 	 [VBP,1] not crazy . 
 not [PRP$,1] [NNS,2] 	 n't [PRP$,1] [NNS,2] 
 it is inappropriate to 	 it is not appropriate to 
 do n't [VP/NN,1] anything . 	 'm not [VP/NN,1] anything . 
 has failed [VP/NP,1] [NP/PP,2] 	 has not [VP/NP,1] [NP/PP,2] 
 [VBZ,1] not [VP/CD,2] 	 [VBZ,1] n't [VP/CD,2] 
 [SBAR/VP,1] is not only [NP\RB,2] 	 [SBAR/VP,1] is not just [NP\RB,2] 
 [NN,1] was not valid 	 [NN,1] was unfounded 
 [VBZ,1] not [VB,2] . 	 [VBZ,1] n't [VB,2] . 
 the [NN,1] can not [VP/SBAR,2] 	 the [NN,1] can only [VP/SBAR,2] 
 was no need [VP/NN,1] 	 was not necessary [VP/NN,1] 
 [PRP,1] was n't [VBN,2] 	 [PRP,1] was not [VBN,2] 
 we [VBP,1] not [VB,2] 	 we [VBP,1] n't [VB,2] 
 you [VBP,1] not have [VP/PP,2] 	 you [VBP,1] n't have [VP/PP,2] 
 did not [VP/VP,1] establish [IN,2] 	 does not [VP/VP,1] demonstrate [IN,2] 
 do not agree [IN,1] [NP/VP,2] 	 disagree [IN,1] [NP/VP,2] 
 you 're not joining me 	 you ai n't comin ' in 
 [VBD,1] n't understand 	 [VBD,1] not understand 
 [PRP,1] 's not [ADJP/NNS,2] 	 [PRP,1] is not [ADJP/NNS,2] 
 n't [VB,1] those [NNS,2] 	 not [VB,1] these [NNS,2] 
 [NP/SBAR,1] [WP,2] lack 	 [NP/SBAR,1] [WP,2] do not have 
 but not that good 	 but not that many 
 not too [RB,1] . 	 not very [RB,1] . 
 it was n't me [.,1] 	 it 's not me [.,1] 
 [SBAR/VP,1] are not [VP/VB,2] 	 [SBAR/VP,1] are n't [VP/VB,2] 
 [IN,1] we [VBD,2] not 	 [IN,1] we [VBD,2] n't 
 [VBP,1] n't [ADJP/JJ,2] 	 [VBP,1] not [ADJP/JJ,2] 
 n't know who [S,1] 	 not know who [S,1] 
 [VBZ,1] not acceptable that 	 [VBZ,1] unacceptable that 
 [VBD,1] impossible to [VB,2] 	 [VBD,1] not possible to [VB,2] 
 [PRP,1] 're not [VP/PRP,2] me 	 [PRP,1] does n't [VP/PRP,2] me 
 [NP,1] [VBZ,2] unsupported 	 [NP,1] [VBZ,2] not supported 
 [DT,1] is bad 	 [DT,1] is not good 
 [MD,1] not deny that 	 [MD,1] not be denied that 
 're not coming . 	 'm not coming . 
 rather than [PP/NNS,1] [NNS,2] 	 and not [PP/NNS,1] [NNS,2] 
 [VBZ,1] not responsible 	 [VBZ,1] not liable 
 do n't feel [ADJP,1] 	 'm not feeling [ADJP,1] 
 [VBD,1] not until [CD,2] 	 [VBD,1] n't until [CD,2] 
 is not even [PRP$,1] 	 's not even [PRP$,1] 
 decides not [VP/NP,1] 	 decided not [VP/NP,1] 
 i ca n't live [PP,1] 	 i can not live [PP,1] 
 [SBAR/S,1] [S/RB,2] not 	 [SBAR/S,1] [S/RB,2] n't 
 [VBZ,1] dangerous [SBAR/VP,2] 	 [VBZ,1] not safe [SBAR/VP,2] 
 [MD,1] not be [VP/PP,2] by 	 [MD,1] only be [VP/PP,2] by 
 you are in danger 	 - you 're not safe 
 [VBP,1] n't understand [VP\VB,2] . 	 [VBP,1] not understand [VP\VB,2] . 
 [SBAR/VP,1] [VBZ,2] not limited to 	 [SBAR/VP,1] [VBZ,2] not confined to 
 is nothing for [NP,1] [TO,2] 	 's not [NP,1] [TO,2] 
 [PRP,1] am not staying [RB,2] 	 [PRP,1] 'm not staying [RB,2] 
 was not able to [VB,1] 	 was unable to [VB,1] 
 [VBD,1] n't [VP/UCP,2] 	 [VBD,1] not [VP/UCP,2] 
 's not [NP/SBAR,1] [SBAR,2] 	 is not [NP/SBAR,1] [SBAR,2] 
 do n't know you [.,1] 	 do not know you [.,1] 
 n't [VB,1] a [NP\DT,2] 	 not [VB,1] an [NP\DT,2] 
 is not to say that the 	 does not mean that the 
 since we do not [VP,1] 	 because we do not [VP,1] 
 do n't see [IN,1] 	 do not see [IN,1] 
 has not substantiated [NP,1] 	 has failed to substantiate [NP,1] 
 [VBP,1] not related to 	 [VBP,1] not linked to 
 not know if i [VP,1] 	 n't know if i [VP,1] 
 no wonder [.,1] 	 not surprising [.,1] 
 that 's not [DT,1] game 	 this is n't [DT,1] game 
 does not offer [NP/PP,1] 	 does not provide [NP/PP,1] 
 not [VP/PP,1] [PP/NN,2] case 	 not [VP/PP,1] [PP/NN,2] communication 
 i try not to 	 i 'm trying not 
 not alter [NP/NN,1] [NN,2] 	 not change [NP/NN,1] [NN,2] 
 [VBP,1] n't know if [S/NP,2] 	 [VBP,1] not know if [S/NP,2] 
 [PRP,1] 'm not listening 	 [PRP,1] 's not listening 
 [PP,1] is insufficient 	 [PP,1] is not sufficient 
 my [NN,1] does n't 	 my [NN,1] has not 
 he 's not coming back 	 he is not coming back 
 'm not [ADJP/S,1] i 	 am not [ADJP/S,1] i 
 is not compatible [PP/NN,1] 	 is not supported [PP/NN,1] 
 [VP/VP,1] are unable to [VP/NNS,2] 	 [VP/VP,1] can not [VP/NNS,2] 
 do not see [SBAR,1] [.,2] 	 do not understand [SBAR,1] [.,2] 
 [VP,1] [CC,2] not simply 	 [VP,1] [CC,2] not just 
 [PP/VP,1] do not wish 	 [PP/VP,1] do not want 
 [NP,1] of [NP,2] can only 	 [NP,1] of [NP,2] can not 
 [PRP,1] 's not [ADVP/NNS,2] 	 [PRP,1] 're not [ADVP/NNS,2] 
 [SBAR/VP,1] failed to provide [NP/VP,2] 	 [SBAR/VP,1] did not provide [NP/VP,2] 
 [WP,1] did n't [VP/NN,2] 	 [WP,1] has not [VP/NN,2] 
 is not [SBAR/NP,1] [NP/VP,2] 	 's not [SBAR/NP,1] [NP/VP,2] 
 not excluding 	 without excluding 
 do not have time for 	 do n't have time for 
 has not [VP/SBAR,1] that [S/VP,2] 	 failed [VP/SBAR,1] that [S/VP,2] 
 [VBP,1] not want [S/PP,2] 	 [VBP,1] n't want [S/PP,2] 
 why not [VP,1] ? 	 why do n't [VP,1] ? 
 because [NP,1] is not [NP/NP,2] 	 as [NP,1] is not [NP/NP,2] 
 's not finished [.,1] 	 ai n't over [.,1] 
 i [VBD,1] n't [VP/PP,2] 	 i [VBD,1] not [VP/PP,2] 
 [NNS,1] [WP,2] can not 	 [NNS,1] [WP,2] ca n't 
 it [VBZ,1] never the [NN,2] 	 it [VBZ,1] not the [NN,2] 
 [NP,1] is n't here 	 [NP,1] is not here 
 n't know [WP,1] i [VP,2] 	 not sure [WP,1] i [VP,2] 
 do n't [VB,1] if [PRP,2] 	 do not [VB,1] whether [PRP,2] 
 not submit [NP,1] in [NP,2] 	 not provide [NP,1] to [NP,2] 
 n't forget [PRP,1] 	 not forget [PRP,1] 
 do n't be [JJ,1] 	 do not be [JJ,1] 
 [NNP,1] [NNP,2] not elsewhere specified 	 [NNP,1] [NNP,2] not elsewhere 
 has n't [VP/NP,1] [CD,2] 	 has not [VP/NP,1] [CD,2] 
 is not easy [VP/NP,1] 	 's not easy [VP/NP,1] 
 little progress [VP/NP,1] 	 not much progress [VP/NP,1] 
 she 's not [PP,1] 	 she is not [PP,1] 
 n't everything . 	 not everything . 
 [DT,1] ai n't [NNP,2] . 	 [DT,1] is not [NNP,2] . 
 is not brought 	 is not submitted 
 is not intended 	 is not designed 
 [SBAR/VP,1] is not repeated 	 [SBAR/VP,1] does not happen again 
 [NP,1] must not be [NP,2] 	 [NP,1] must not become [NP,2] 
 not [ADJP,1] as [NP,2] 	 n't [ADJP,1] as [NP,2] 
 [NN,1] is out of specification 	 [NN,1] is not as specified 
 know [DT,1] [VBZ,2] not 	 know [DT,1] [VBZ,2] n't 
 is not bound 	 is not related 
 that ca n't [VB,1] [VP/NN,2] 	 who do not [VB,1] [VP/NN,2] 
 - i 'm not doing anything 	 - i 'm not doing this 
 [MD,1] [VB,2] remembered that 	 [MD,1] not [VB,2] forgotten that 
 [VBD,1] not [VP/ADVP,2] 	 [VBD,1] n't [VP/ADVP,2] 
 [SBAR/VP,1] [MD,2] not lead to 	 [SBAR/VP,1] [MD,2] not result in 
 not [VB,1] [NP/CD,2] 2 	 n't [VB,1] [NP/CD,2] 2 
 [PRP,1] 'm not lying [.,2] 	 [PRP,1] do n't lie [.,2] 
 is not sufficient [PP,1] 	 is not enough [PP,1] 
 [SBAR/VP,1] is not [SBAR/VBZ,2] 	 [SBAR/VP,1] 's not [SBAR/VBZ,2] 
 can not [VB,1] empty 	 can not [VB,1] blank 
 [:,1] i 'm your father 	 [:,1] that 's not funny 
 was only in [NP,1] 	 was not until [NP,1] 
 we do not [VB,1] [NP/VP,2] 	 we do n't [VB,1] [NP/VP,2] 
 n't ask [VP\VB,1] 	 not ask [VP\VB,1] 
 no [COMMA,1] not again [.,2] 	 no [COMMA,1] not yet [.,2] 
 [NP/NP,1] [NP,2] is not possible 	 [NP/NP,1] [NP,2] is impossible 
 [WP,1] could not [VP,2] 	 [WP,1] was unable to [VP,2] 
 [NP\DT,1] [VBZ,2] unknown 	 [NP\DT,1] [VBZ,2] not known 
 not [WP,1] [VP,2] 	 n't [WP,1] [VP,2] 
 not nice 	 very unkind 
 [MD,1] not [VB,2] construed 	 [MD,1] not [VB,2] interpreted 
 [NP,1] failed to demonstrate [SBAR/VP,2] 	 [NP,1] has not established [SBAR/VP,2] 
 [SBAR/VP,1] was not prepared 	 [SBAR/VP,1] was unwilling 
 little 	 not many 
 that 's not [NP,1] [NP\NP,2] 	 these are n't [NP,1] [NP\NP,2] 
 [VBD,1] n't even [VP/S,2] 	 [VBD,1] not even [VP/S,2] 
 [PRP,1] 're not [JJ,2] yet 	 [PRP,1] 'm not [JJ,2] yet 
 not fall within [NP,1] 	 not fall under [NP,1] 
 such data [VBP,1] not 	 data [VBP,1] not 
 [NP\DT,1] are not being met 	 [NP\DT,1] are not complied with 
 'm not afraid [PP,1] [.,2] 	 'm not frightened [PP,1] [.,2] 
 i [MD,1] not . 	 i just [MD,1] n't . 
 were not there [.,1] 	 were n't there [.,1] 
 will not be able to 	 will be unable to 
 's never the [NN,1] [.,2] 	 's not the [NN,1] [.,2] 
 [NP,1] fails to comply 	 [NP,1] does not comply 
 is impossible [VP/VP,1] 	 is not possible [VP/VP,1] 
 may only be [VBN,1] [VP/S,2] 	 can not be [VBN,1] [VP/S,2] 
 do n't see [SBAR/VP,1] [VP/S,2] 	 can not see [SBAR/VP,1] [VP/S,2] 
 is not mandatory . 	 is not compulsory . 
 [IN,1] [NP,2] has not contested 	 [IN,1] [NP,2] has not refuted 
 are not entitled [PP/NP,1] 	 are not eligible [PP/NP,1] 
 not polite 	 impolite 
 [VBP,1] not done ! 	 [VBP,1] coming back ! 
 can not be empty . 	 can not be blank . 
 - do n't move [.,1] 	 - do not move [.,1] 
 [VBZ,1] not complete 	 [VBZ,1] not completed 
 [PRP,1] [VBZ,2] n't my 	 [PRP,1] [VBZ,2] not my 
 ca n't [VP/SBAR,1] [SBAR/VBN,2] 	 can not [VP/SBAR,1] [SBAR/VBN,2] 
 [VBP,1] not sure if [S/ADJP,2] 	 [VBP,1] n't know if [S/ADJP,2] 
 [VBP,1] unable to 	 [VBP,1] not able to 
 it 's not [NP/NNP,1] 	 this is n't [NP/NNP,1] 
 n't [VP/NP,1] that [NN,2] 	 not [VP/NP,1] this [NN,2] 
 [NP/VP,1] fail to [VP/PRP,2] 	 [NP/VP,1] do not [VP/PRP,2] 
 [S/VP,1] does not [VB,2] 	 [S/VP,1] do n't [VB,2] 
 can not be edited . 	 can not be changed . 
 was n't [DT,1] [NP\DT,2] 	 was not [DT,1] [NP\DT,2] 
 failed to understand [WRB,1] 	 does not understand [WRB,1] 
 that the department did not 	 that the department failed 
 [VBZ,1] not constitute 	 [VBZ,1] not represent 
 [VBP,1] n't have [DT,2] right 	 [VBP,1] not have [DT,2] right 
 [PRP$,1] [NP\PRP$,2] had not 	 [PRP$,1] [NP\PRP$,2] had n't 
 not until [NP,1] [.,2] 	 not till [NP,1] [.,2] 
 not fall under the 	 not fall within the 
 [DT,1] are n't [JJ,2] 	 [DT,1] are not [JJ,2] 
 -lrb- not including [NP/NN,1] [NN,2] 	 -lrb- excluding [NP/NN,1] [NN,2] 
 [VP/VP,1] has failed to demonstrate 	 [VP/VP,1] has not shown 
 [WDT,1] is not eligible 	 [WDT,1] does not qualify 
 does not start 	 does not boot 
 yes , [CC,1] not [NP,2] 	 yeah , [CC,1] not [NP,2] 
 if you do not [VP/RB,1] 	 if you do n't [VP/RB,1] 
 will not be [JJ,1] [IN,2] 	 wo n't be [JJ,1] [IN,2] 
 're not [VP/DT,1] this [.,2] 	 really [VP/DT,1] that [.,2] 
 you 're not [ADJP/S,1] [S/NP,2] 	 you are not [ADJP/S,1] [S/NP,2] 
 [NP/VP,1] [VBD,2] not been able 	 [NP/VP,1] [VBD,2] unable to 
 [NP,1] [VBD,2] not submitted 	 [NP,1] [VBD,2] not presented 
 [NN,1] [VBZ,2] not necessary 	 [NN,1] [VBZ,2] not required 
 [NNP,1] [NN,2] is unavailable 	 [NNP,1] [NN,2] is not available 
 n't what i [VBP,1] 	 not what i [VBP,1] 
 did not [VP/NP,1] [FW,2] 	 did not think [VP/NP,1] [FW,2] 
 [NP,1] takes no account 	 [NP,1] does not take account 
 i [VBP,1] n't [VP,2] . 	 i [VBP,1] not [VP,2] . 
 is not [NN,1] [NP\NN,2] 	 's not [NN,1] [NP\NN,2] 
 not applicable . 	 moot . 
 i [VP/VP,1] [VBP,2] n't know 	 i [VP/VP,1] [VBP,2] not know 
 's not [RB,1] my 	 is not [RB,1] my 
 do not [VB,1] why [S/ADJP,2] 	 do n't [VB,1] why [S/ADJP,2] 
 was n't part 	 was not part 
 would n't [VB,1] [NP,2] if 	 do not [VB,1] [NP,2] if 
 [VP/VP,1] did not [VP/PRP,2] 	 [VP/VP,1] did n't [VP/PRP,2] 
 , do not [VB,1] [.,2] 	 , do n't [VB,1] [.,2] 
 not accept amendment 	 not accept amendments nos 
 n't good for [PRP,1] 	 not good for [PRP,1] 
 not to bring in 	 not to bring into hong kong 
 [NP,1] is not [NP/NNP,2] 	 [NP,1] 's not [NP/NNP,2] 
 [MD,1] not control 	 [MD,1] n't control 
 [S/VP,1] [VBD,2] not able to 	 [S/VP,1] [VBD,2] unable to 
 she [VBD,1] not want 	 she [VBD,1] n't want to 
 , it 's not bad . 	 , that 's pretty good . 
 not [RB,1] been completed 	 not [RB,1] complete 
 still do not [VB,1] [SBAR,2] 	 still do n't [VB,1] [SBAR,2] 
 not [VP,1] [S\VP,2] 	 n't [VP,1] [S\VP,2] 
 [UH,1] , not yet 	 [UH,1] , not just yet 
 that iran [VBZ,1] not 	 that iran [VBZ,1] failed 
 states not yet 	 states that have not yet become 
 [PRP,1] is not known [SBAR/PP,2] 	 [PRP,1] did not know [SBAR/PP,2] 
 [S/NP,1] [NP,2] , not only 	 [S/NP,1] [NP,2] , not just 
 n't natural 	 not natural 
 [UH,1] , forget it 	 [UH,1] , i guess not 
 does not attempt [TO,1] 	 does not seek [TO,1] 
 not [VB,1] too [RB,2] 	 n't [VB,1] too [RB,2] 
 not scared [VP,1] 	 n't afraid [VP,1] 
 [PRP,1] did not attain 	 [PRP,1] did not get 
 [DT,1] [VBZ,2] n't a negotiation 	 [DT,1] [VBZ,2] not a negotiation 
 [VP/VP,1] [VP/SBAR,2] otherwise 	 [VP/VP,1] [VP/SBAR,2] if not 
 's not [NP/VP,1] [VBZ,2] 	 is not [NP/VP,1] [VBZ,2] 
 we [VBP,1] not leaving [PP,2] 	 we [VBP,1] not going [PP,2] 
 's not our [NN,1] [.,2] 	 is not our [NN,1] [.,2] 
 [SBAR/VP,1] is not possible to 	 [SBAR/VP,1] is impossible to 
 [NNP,1] did not [VB,2] 	 [NNP,1] failed to [VB,2] 
 's not right . 	 's not fair . 
 [VBZ,1] not only [NP,2] . 	 [VBZ,1] not just [NP,2] . 
 [DT,1] 's not [DT,2] point 	 [DT,1] is not [DT,2] point 
 [VBP,1] n't say [PRP,2] 	 [VBP,1] not saying that [PRP,2] 
 it 's not [WP,1] [S,2] 	 this is n't [WP,1] [S,2] 
 ai n't here to talk about 	 am not here to talk about 
 we do not succeed in 	 we fail to 
 take care not 	 be careful not 
 has no right [VP/NP,1] 	 is not entitled [VP/NP,1] 
 [JJ,1] but not sufficient [NN,2] 	 [JJ,1] but insufficient [NN,2] 
 'm not gonna [VP,1] [.,2] 	 'm not going [VP,1] [.,2] 
 both aboriginal and non-aboriginal 	 aboriginal or not 
 , and not only [PP,1] 	 , and not just [PP,1] 
 [ADJP/VP,1] [VBZ,2] not possible 	 [ADJP/VP,1] [VBZ,2] impossible 
 [SQ/VP,1] is not 	 [SQ/VP,1] 's not 
 it [VBZ,1] not really [NP,2] 	 it [VBZ,1] not exactly [NP,2] 
 're not [JJ,1] if 	 'm not [JJ,1] if 
 [NP,1] was not required 	 [NP,1] was not necessary 
 not [VP/PP,1] on [PRP,2] 	 n't [VP/PP,1] on [PRP,2] 
 [RB,1] not [RB,2] 	 n't [RB,1] [RB,2] 
 [S/SQ,1] was [PRP,2] not 	 [S/SQ,1] ca n't [PRP,2] 
 'm not [VBN,1] 	 have n't [VBN,1] 
 [VBD,1] not obtain [NP,2] 	 [VBD,1] not achieve [NP,2] 
 i can not [VP/NP,1] [DT,2] 	 i ca n't [VP/NP,1] [DT,2] 
 windows does not 	 windows does n't 
 [VP,1] is not [NP,2] 	 [VP,1] is n't [NP,2] 
 you did n't [VP/PRP,1] 	 you 're not [VP/PRP,1] 
 [VBP,1] n't follow [PRP,2] 	 [VBP,1] not following [PRP,2] 
 [SBAR/VP,1] is not only 	 [SBAR/VP,1] is not just 
 [VP/SBAR,1] [WP,2] are not able 	 [VP/SBAR,1] [WP,2] are unable 
 [NP\DT,1] [VBZ,2] not complete 	 [NP\DT,1] [VBZ,2] not over 
 not an issue [SBAR,1] 	 not a matter [SBAR,1] 
 are not [NP,1] ! 	 're not [NP,1] ! 
 that [PRP,1] could n't 	 that [PRP,1] could not 
 [IN,1] [NP,2] is not here 	 [IN,1] [NP,2] is not present 
 not know [NP,1] 	 n't know [NP,1] 
 does not prejudice [NP,1] 	 does not prejudge [NP,1] 
 ca n't [VP/PP,1] [PP/NN,2] 	 can not [VP/PP,1] [PP/NN,2] 
 not leaving [IN,1] [PRP,2] 	 not going [IN,1] [PRP,2] 
 applies not only 	 is true not only 
 [MD,1] only be [VBN,2] when 	 [MD,1] not be [VBN,2] where 
 hardly [DT,1] time [VP,2] 	 not [DT,1] time [VP,2] 
 [VBZ,1] not in there [.,2] 	 [VBZ,1] n't there [.,2] 
 does n't explain [WRB,1] 	 does not explain [WRB,1] 
 unspecified [-RRB-,1] 	 not specified [-RRB-,1] 
 not [RB,1] [COMMA,2] at least 	 not [RB,1] [COMMA,2] anyway 
 not all the [NN,1] [.,2] 	 not the whole [NN,1] [.,2] 
 that [NNP,1] has not [VP/NN,2] 	 that [NNP,1] failed to [VP/NN,2] 
 [S/VP,1] can not [VP/NN,2] 	 [S/VP,1] ca n't [VP/NN,2] 
