Number of pairs: 5113
limited	unlimited
responsiveness	unresponsiveness
disposable	nondisposable
brainwashed	unbrainwashed
here	there
inferiority	superiority
anticlimactic	climactic
reported	unreported
asymmetry	symmetry
depressurize	pressurize
multipli	singli
inheritable	noninheritable
humility	pride
active	quiet
shortness	tallness
conform_to	violat
orthodoxy	unorthodoxy
contraction	expansion
dry	wet
darkness	lightness
disreputability	reputability
distinctness	indistinctness
deodorize	odorize
cismontane	tramontane
militari	unmilitari
deoxidize	oxidize
changed	unchanged
perinatal	postnatal
absorbency	nonabsorbency
credit	debit
endoerg	exoerg
nonresidenti	residenti
monogamous	polygamous
military	unmilitary
extrospective	introspective
poverty	wealth
settled	unsettled
controversi	uncontroversi
high-tens	low-tens
appropriately	inappropriately
aveng	unaveng
imposs	possibl
heedful	heedless
divide	unite
classification	declassification
intolerantli	tolerantli
dehumanize	humanize
lengthen	shorten
intent	unintent
objectively	subjectively
interest	uninterest
invas	noninvas
modulated	unmodulated
gaseou	liquid
romantically	unromantically
instabl	stabil
off-site	on-site
beak	beakless
intolerantly	tolerantly
godli	ungodli
insubstanti	substanti
detribalization	tribalization
catarrhine	platyrrhine
plow	unplow
insecurity	security
impartiality	partiality
negative	positive
borrow	lender
conquer	unconquer
readi	unreadi
overhead	subsurfac
calm	stormi
heir_apparent	heir_presumptive
difficulti	eas
leaky	tight
atypically	typically
arenac	argillac
nonreflective	reflective
alphabet	analphabet
abaxial	adaxial
negative_charg	positive_charg
holy	unholy
relax	tens
successful	unsuccessful
abstemi	glutton
naive	sophisticated
relat	unrel
autumnal	wintry
notic	unnot
aware	unaware
deciduous	evergreen
insecureness	secureness
rimless	rim
adult	juvenil
holi	unholi
continual	sporadic
aligned	nonaligned
nonuniformity	uniformity
origin	unorigin
abundance	scarcity
tastefully	tastelessly
eradicable	ineradicable
husbandly	wifely
deodouris	odouris
nonspeak	speak
elegantli	inelegantli
roof	roofless
endogenous	exogenous
live_in	live_out
de-ionate	ionate
dysgenics	eugenics
exhale	inhale
elegantly	inelegantly
centralization	decentralization
leave_offic	take_offic
addictive	nonaddictive
expressively	inexpressively
dissatisfaction	satisfaction
allopatry	sympatry
loosen	tighten
wane	wax
anteriority	posteriority
corpuscular_theori	wave_theori
organized	unorganized
alternating_curr	direct_curr
nonsuppur	suppur
impair	unimpair
powerfulness	powerlessness
improb	probabl
caution	incaut
innocu	noxiou
centrifugal_force	centripetal_force
corpuscular_theory	wave_theory
keep	lose
crystallized	uncrystallized
absolute	relative
alienable	inalienable
sugarless	sugari
strong_point	weak_point
contraindicate	indicate
intoxicated	sober
complaining	uncomplaining
imprecision	precision
travel	untravel
unwarili	warili
bimod	unimod
livable	unlivable
classifi	declassifi
ceremoni	unceremoni
imperishable	perishable
grammatically	ungrammatically
disincarnate	incarnate
scrupulousness	unscrupulousness
confin	free
regist	unregist
double-barreled	single-barreled
colonis	decolonis
unwarily	warily
acroscopic	basiscopic
productiveness	unproductiveness
dignified	undignified
confid	diffid
Arabic_numer	Roman_numer
badly	well
aggrade	degrade
female_aristocrat	male_aristocrat
leave_office	take_office
insecure	secure
unwrinkled	wrinkled
antapex	apex
confirmed	unconfirmed
demanding	undemanding
bad_luck	good_luck
badli	well
fall_back	gain
lax	tens
beauti	ugli
law	lawlessli
meaningful	meaningless
antonym	synonym
derequisition	requisition
harmoni	inharmoni
persuasiveness	unpersuasiveness
retail	wholesal
curableness	incurableness
effective	ineffective
reverberant	unreverberant
criminalization	decriminalization
acknowledged	unacknowledged
come_in	go_out
fictional	nonfictional
capitalism	socialism
complexity	simplicity
green	ripe
unwit	wit
assertively	unassertively
decreasing	increasing
disinclin	inclin
mechan	nonmechan
democratic	undemocratic
wing	wingless
determinate	indeterminate
unweaned	weaned
hardhearted	softhearted
prospective	retrospective
unworthiness	worthiness
offici	unoffici
extricable	inextricable
active_voice	passive_voice
sociability	unsociability
nonterritorial	territorial
responsive	unresponsive
fidelity	infidelity
flexibl	inflex
patronized	unpatronized
digest	indigest
high-ris	low-ris
cross-fertil	self-fertil
difference	sameness
respectability	unrespectability
fit	unfit
directional	omnidirectional
savori	unsavori
fix	loo
extraterritorial	territorial
allochthonous	autochthonous
better	worsen
implausibility	plausibility
invisibility	visibility
insubstantial	substantial
savory	unsavory
agreeableness	disagreeableness
anterograd	retrograd
apogee	perigee
shear	unshear
illegitimately	legitimately
maximal	minimal
anim	inanim
affected	unaffected
disreputably	reputably
circumstantial_evidence	direct_evidence
enrich	impoverish
sleepiness	wakefulness
demythologize	mythologize
break	keep
band	unband
punch_in	punch_out
effectu	ineffectu
glazed	unglazed
multidimensional	unidimensional
apolune	perilune
call_opt	put_opt
moneyed	moneyless
foolishli	wise
grammat	ungrammat
anion	cation
ebbtide	flood_tide
brightness	dullness
reasonably	unreasonably
classified	unclassified
in_hand	out_of_hand
mistrust	trust
explode	implode
accommod	unaccommod
anodic	cathodic
nonrepresent	represent
monophon	polyphon
reasonable	unreasonable
fitness	unfitness
addicted	unaddicted
immaturity	maturity
intransitivity	transitivity
oblig	unoblig
associative	nonassociative
dethrone	enthrone
multiple-choic	true-fals
development	nondevelopment
financial	nonfinancial
recognizably	unrecognizably
insati	satiat
weightless	weighti
initiate	uninitiate
breakabl	unbreak
drinker	nondrink
combust	noncombust
cranni	uncranni
destabil	stabil
drunkenness	soberness
nonproprietari	proprietari
principled	unprincipled
optimistically	pessimistically
motorized	unmotorized
demote	promote
turn	unturn
falsity	truth
depress	elat
disrespectfully	respectfully
disloyalty	loyalty
palat	unpalat
restricted	unrestricted
articul	inarticul
aliqu	aliquot
crucial	noncruci
autotroph	heterotroph
content	discontent
forte	piano
broad-minded	narrow-minded
regret	unregret
heavy-duty	light-duty
adapt	unadapt
restraint	unrestraint
cheerfully	cheerlessly
hypervolemia	hypovolemia
cross-pollin	self-pollin
nonparticul	particul
endergon	exergon
numerical	verbal
inop	oper
linear	nonlinear
high_explosive	low_explosive
associate	dissociate
eukaryot	prokaryot
unwaxed	waxed
free	obstruct
ascending	descending
fathomable	unfathomable
necessarily	unnecessarily
liveborn_inf	stillborn_inf
crowned	uncrowned
enlightened	unenlightened
interestingness	uninterestingness
nonrigid	rigid
certified	uncertified
caduc	persist
consciousness	unconsciousness
cautiou	incauti
eared	earless
hollowness	solidity
correctness	incorrectness
illeg	legal
alcohol	nonalcohol
renew	unrenew
apojov	perijov
convergency	divergency
mendacity	veracity
inbred	outbred
appendaged	unappendaged
keep_down	vomit
size	unsiz
truthfulness	untruthfulness
industrial	nonindustrial
bloodily	bloodlessly
demytholog	mytholog
inopportunely	opportunely
implac	placabl
clariti	obscur
reassure	worry
primary	secondary
larboard	starboard
restrict	unrestrict
hook	unhook
instruct	uninstruct
abstractness	concreteness
bloodili	bloodlessli
dependableness	undependableness
imperceptibility	perceptibility
thoughtfully	thoughtlessly
thick	thin
call_option	put_option
favorableness	unfavorableness
primari	secondari
nonrandom	random
pardonable	unpardonable
aboral	oral
bottom-up	top-down
acquaint	stranger
blow_up	reduc
dissuasion	persuasion
engagement	non-engagement
quotable	unquotable
tangl	untangl
fiction	nonfict
graciously	ungraciously
immodest	modest
converg	diverg
listed	unlisted
brainwash	unbrainwash
particular_proposit	universal_proposit
naivet	sophist
isometr	isoton
naiv	sophist
pardonably	unpardonably
inflow	outflow
general_ag	special_ag
ceiling	floor
illiterate	literate
consol	inconsol
asset	liabil
charter	unchart
complimentari	uncomplimentari
happily	unhappily
diversified	undiversified
esoteric	exoteric
conspicuously	inconspicuously
get_off	get_on
maxim	minim
repeatable	unrepeatable
predictable	unpredictable
conscientiousness	unconscientiousness
conserv	wast
happili	unhappili
adject	substant
even-toed_ungul	odd-toed_ungul
louden	quieten
nonpartisan	partisan
desynchronise	synchronise
finitely	infinitely
devit	vital
recto	verso
discourag	encourag
coherently	incoherently
earned_run	unearned_run
divisible	indivisible
foreignness	nativeness
legalize	outlaw
distributari	tributari
seated	standing
preparation	resolution
merci	merciless
precocious	retarded
femaleness	maleness
guilt	innoc
stratified	unstratified
coher	incoher
insenti	sentienc
cooking_appl	eating_appl
irreconcil	reconcil
off-sit	on-sit
minus	plus
amphitropous	anatropous
manned	unmanned
encumbered	unencumbered
avirul	virul
modern	old_styl
skinless	skin
mine	unmin
antagonistic	conciliatory
necessari	unnecessari
seed	unseed
lumper	splitter
rentabl	unrent
constricted	unconstricted
strengthening	weakening
minu	plu
irrelevance	relevance
qualit	quantit
functioning	malfunctioning
derivational	inflectional
irrevoc	revoc
nonpsychoact	psychoact
convenient	inconvenient
neck	neckless
communicative	uncommunicative
impotent	potent
metallic	nonmetallic
oriented	unoriented
toothed	toothless
maxi	midi
disunify	unify
season	unseason
decidu	evergreen
effectiveness	ineffectiveness
mindfully	unmindfully
propitious	unpropitious
imprudent	prudent
nonoper	oper
immediaci	mediaci
denation	nation
supervis	unsupervis
object	subject
heterocercal_fin	homocercal_fin
unwomanli	womanli
affirmation	reversal
addict	unaddict
disenfranchisement	enfranchisement
coil	uncoil
even-toed_ungulate	odd-toed_ungulate
constancy	inconstancy
excus	inexcus
irremedi	remedi
classicist	romanticist
monotheism	polytheism
medical	surgical
anestru	estru
demagnetize	magnetize
crowd	uncrowd
back_burner	front_burner
judgmental	nonjudgmental
abstractli	concret
yang	yin
aunt	uncl
re-entr	salient
neg	posit
detransitivize	transitivize
profundity	superficiality
bisexu	heterosexu
imperceptible	perceptible
articulately	inarticulately
benignity	malignity
nonporous	porous
impolit	polit
immutability	mutability
armament	disarma
pave	unpav
ambiguously	unambiguously
appeal	unapp
disembarrass	embarrass
chartered	unchartered
allopath	homeopath
calculable	incalculable
anesthetize	bring_to
blunt_file	taper_file
analogue	digital
cheaply	expensively
attend_to	neglect
major_surgeri	minor_surgeri
involv	uninvolv
absolut	rel
busy	idle
painfully	painlessly
insensibility	sensibility
grassless	grassi
nonwashable	washable
by_all_means	by_no_means
fund	unfund
cold_war	hot_war
multilater	unilater
sympathet	unsympathet
busi	idl
astomat	stomat
touched	untouched
achromatin	chromatin
easterly	westerly
foolishly	wisely
subhuman	superhuman
adequate	inadequate
achromatic	chromatic
hardball	softball
blue-collar	white-collar
imperfectli	perfectli
greenness	ripeness
continuity	discontinuity
immotil	motil
colorful	colorless
improvidence	providence
evit	inevit
seamanlike	unseamanlike
nasti	nice
inoperative	operative
scalable	unscalable
proactiv	retroact
congruent	incongru
curliness	straightness
obscur	promin
borrower	lender
downtime	uptime
report	unreport
illegality	legality
nasty	nice
considerate	inconsiderate
nonterritori	territori
devolution	evolution
aestivate	hibernate
nidicolous	nidifugous
earn	unearn
natural_depress	natural_elev
extrusive	intrusive
officially	unofficially
sour	unsour
alik	unalik
changeabl	unchang
godliness	ungodliness
illegitimate	legitimate
pro-choice	pro-life
bad	good
avenged	unavenged
artificial_languag	natural_languag
unwitting	witting
fertility	infertility
automatic	manual
integr	nonintegr
ambivers	extravers
fragrant	malodor
pro-choic	pro-lif
unworthy	worthy
extinguishable	inextinguishable
fair	unfair
expediency	inexpediency
general_verdict	special_verdict
resist	surrend
naturalness	unnaturalness
disorganise	organise
expedience	inexpedience
optimism	pessimism
nontraditional	traditional
respons	unrespons
corrupt	incorrupt
best	worst
awar	unawar
capacity	incapacity
bridl	unbridl
shaven	unshaven
discrimin	undiscrimin
analyze	synthesize
away	home
afloat	aground
artificial	natural
impieti	pieti
figur	liter
future	past
finger	fingerless
disprove	prove
hopefully	hopelessly
conductive	nonconductive
dilig	neglig
emigr	immigr
hydrokinetic	hydrostatic
approach	unapproach
balanc	unbalanc
discipline	indiscipline
accord	discord
extend	unextend
overstatement	understatement
optimist	pessimist
packaged	unpackaged
metal	nonmetal
bottle-f	breast-f
abstractly	concretely
extens	flexion
eukaryotic	prokaryotic
loading	unloading
contamination	decontamination
downgrade	upgrade
carnivorous	insectivorous
hardbal	softbal
absorbent	nonabsorbent
faced	faceless
acidify	alkalize
protect	unprotect
disorderly	orderly
ampli	meagerli
irregular	regular
ill	well
bivalent	multivalent
illogicality	logicality
disproport	proport
quotabl	unquot
consonantal	vocalic
disengage	engage
downtick	uptick
planned	unplanned
con	pro
compromis	uncompromis
skill	unskil
propitiousness	unpropitiousness
tone	toneless
artesian	subartesian
otherworldliness	worldliness
oleophilic	oleophobic
endocentric	exocentric
irresponsible	responsible
meaningfulness	meaninglessness
clockwis	counterclockwis
comprehension	incomprehension
irresponsibly	responsibly
hydrophil	hydrophob
loaded	unloaded
unvariedness	variedness
high_pitch	low_pitch
malleabl	unmal
double-breasted	single-breasted
gratitude	ingratitude
contraindication	indication
acatalectic	hypercatalectic
immobile	mobile
flexibly	inflexibly
regenerate	unregenerate
modifi	unmodifi
coupl	uncoupl
adroitli	maladroitli
erect	unerect
quickly	slowly
advert	inadvert
confident	diffident
roofed	roofless
destructible	indestructible
basic	incident
expected	unexpected
flexible	inflexible
adroitly	maladroitly
exactness	inexactness
ebbtid	flood_tid
high_status	low_status
regul	unregul
efficacy	inefficacy
eastern	western
nonsurgical	surgical
poor_peopl	rich_peopl
impermanence	permanence
affixed	unaffixed
coherent	incoherent
efficaci	inefficaci
child	parent
daughter	son
puncturable	punctureless
reassuring	unreassuring
luckili	unluckili
censored	uncensored
gracious	ungraci
applied	theoretical
inhibit	uninhibit
east	west
servil	unservil
affirm	neg
demonetization	monetization
shrink	stretch
illiteracy	literacy
suitably	unsuitably
inviolable	violable
atonic	tonic
act	refrain
sheath	unsheath
imperfectibility	perfectibility
calcul	incalcul
melted	unmelted
abrupt	gradual
ectomorph	mesomorph
categorem	syncategorem
rightness	wrongness
balance	imbalance
precede	succeed
oleophil	oleophob
endocentr	exocentr
hand_mower	power_mower
printabl	unprint
provocative	unprovocative
dependability	undependability
paint	unpaint
erranc	inerr
defeated	undefeated
conditioned	unconditioned
exterior	interior
curved	straight
cook	raw
punctuality	tardiness
actable	unactable
antrors	retrors
inpati	outpati
dri	wet
damaged	undamaged
horizont	inclin
exportable	unexportable
nonrepetitive	repetitive
tidi	untidi
make	unmak
campylotrop	orthotrop
complex	simplic
corrigible	incorrigible
be_active	rest
contaminate	decontaminate
sanitari	unsanitari
success	unsuccess
demotion	promotion
couple	uncouple
complet	incomplet
wheel	wheelless
fairly	unfairly
fair_ball	foul_ball
disoblig	oblig
screw	unscrew
angri	unangri
conjunctive	disjunctive
monotonic	nonmonotonic
evil	good
hand	handless
fairli	unfairli
declarative	interrogative
hygien	unhygien
refin	unrefin
convergent_think	divergent_think
depersonalize	personalize
seamed	seamless
downwardly	upwardly
tune	tuneless
facult	oblig
believingly	unbelievingly
fat_person	thin_person
immaterial	material
forceful	forceless
humble	proud
in-basket	out-basket
inherit	noninherit
illog	logic
admiss	inadmiss
approbation	disapprobation
coldness	hotness
perceptiveness	unperceptiveness
portabl	unport
musical	unmusical
left	right
seasonal	year-round
apetalous	petalous
disloy	loyal
birth	death
just	unjust
congruousness	incongruousness
solvability	unsolvability
postnuptial	prenuptial
gravity	levity
assigned	unassigned
double-barrel	single-barrel
anabolism	catabolism
pronounceable	unpronounceable
anaclin	cataclin
human	inhuman
unventil	ventil
heavy-foot	light-foot
dignifi	undignifi
sleepi	wake
closed_circuit	open_circuit
enlighten	unenlighten
columned	noncolumned
abduct	adduct
hydrokinet	hydrostat
easi	uneasi
desynchronizing	synchronizing
interfer	noninterfer
unvoiced	voiced
non-volatile_storage	volatile_storage
insubordination	subordination
anabol	catabol
text_edit	trade_edit
sensat	unsens
shout	whisper
insignificantli	significantli
affinity	consanguinity
easy	uneasy
say_farewel	welcom
har	unhar
righteous	unright
nonradioactive	radioactive
dematerialis	materialis
applic	inapplic
otherworldli	worldli
insensitive	sensitive
disincarn	incarn
involuntary	voluntary
infield	outfield
posed	unposed
abient	adient
reportable	unreportable
auspicious	inauspicious
encumb	unencumb
discreet	indiscreet
roughness	smoothness
background	foreground
malleability	unmalleability
involuntari	voluntari
sanitary	unsanitary
strap	unstrap
illiter	liter
disprov	prove
hairless	hairi
commiss	noncommiss
articulated	unarticulated
clearheaded	confused
disinclination	inclination
impolitic	politic
obvious	unobvious
impass	passabl
immorally	morally
dishonest	honest
graviti	leviti
informative	uninformative
fearfully	fearlessly
fresh_wat	saltwat
debilit	invigor
arbitrary	nonarbitrary
binucl	trinucl
insolubility	solubility
inopportuneness	opportuneness
captor	liber
imagin	unimagin
right	wrong
old	young
aptitude	inaptitude
disori	orient
flatter	unflatt
successfully	unsuccessfully
deaf	hear
a_la_carte	table_d'hote
dead	live
born	unborn
intern	nation
de-energis	energis
insincerely	sincerely
flatten	sharpen
disparag	flatter
multiple	single
animate	inanimate
immaturely	maturely
away_gam	home_gam
nobleman	noblewoman
theatrical	untheatrical
insensit	sensit
cooper	uncoop
tracked	trackless
bottom	bottomless
establish	unestablish
bridgeable	unbridgeable
depressur	pressur
creative	uncreative
nonthermal	thermal
attractiveness	unattractiveness
intolerant	tolerant
condit	uncondit
cross-ey	walley
palatable	unpalatable
knowingli	unknowingli
algorithmic	heuristic
bold	timid
stay_in_plac	travel
deflation	inflation
complainingli	uncomplainingli
insecur	secur
pose	unpos
buri	unburi
constructive	destructive
cleanness	dirtiness
diploid	polyploid
bolt	unbolt
defensive	offensive
insanity	sanity
palatably	unpalatably
high-resolut	low-resolut
trustworthi	untrustworthi
intrus	protrus
digestible	indigestible
nonwash	washabl
troubl	untroubl
impenetrable	penetrable
steadili	unsteadili
conceal	reveal
hairiness	hairlessness
ashamedli	unashamedli
contamin	uncontamin
trustworthy	untrustworthy
internation	nation
despair	hope
costive	laxative
effici	ineffici
steadily	unsteadily
abience	adience
obtrusiveness	unobtrusiveness
courtesi	discourtesi
sessil	vagil
leaki	tight
injudiciousness	judiciousness
crescendo	decrescendo
civil	noncivil
common_noun	proper_noun
bounc	clear
float	sink
profession	unprofession
bound	free
intellectual	nonintellectual
fern	fernless
down	up
respectable	unrespectable
unwelcom	welcom
asynchronism	synchronism
datable	undatable
consummated	unconsummated
coastal	inland
balanced	unbalanced
apophatism	doctrine_of_analogy
refined	unrefined
emigrate	immigrate
apetal	petal
contrasti	flat
bigness	littleness
knowingly	unknowingly
appealingly	unappealingly
illicitness	licitness
destabilize	stabilize
support	unsupport
illogic	logic
aliquant	aliquot
corporeal	incorporeal
tame	wild
avail	unavail
stuck	unstuck
impracticability	practicability
analysi	synthesi
authorized	unauthorized
fraction	whole
acknowledg	unacknowledg
denationalization	nationalization
electrolytic_cel	voltaic_cel
offstag	onstag
overhand	underhand
happy	unhappy
questionable	unquestionable
intolerance	tolerance
head	unhead
allopathi	homeopathi
gaseous	liquid
irreversibility	reversibility
form	unform
overgarment	undergarment
forc	forceless
crown	uncrown
spirit	spiritless
carin	ratit
conclusively	inconclusively
nonreturn	return
oil	unoil
disinclined	inclined
hurriedli	unhurriedli
feminine	neuter
allopathy	homeopathy
satisfactorily	unsatisfactorily
impalp	palpabl
antemeridian	postmeridian
fort	piano
continuance	discontinuance
absent	present
calc	discalc
accuraci	inaccuraci
nonrevers	revers
inquir	uninquir
holophytic	holozoic
inside	outside
attached	detached
maximum	minimum
generosity	stinginess
insincere	sincere
centralise	decentralize
skillfulness	unskillfulness
emotional	unemotional
nonrumin	rumin
inquiring	uninquiring
benignancy	malignancy
temper	untemp
accelerate	decelerate
trim	untrim
seaworthy	unseaworthy
unwear	wearabl
gather	ungath
proved	unproved
believably	unbelievably
adnat	connat
covert	overt
abstract	concret
aposelen	periselen
endergonic	exergonic
futur	present
convergent	divergent
seaworthi	unseaworthi
discouragingli	encouragingli
ectomorphic	mesomorphic
improprieti	proprieti
exist	nonexist
humorlessly	humorously
knowable	unknowable
fraternal	identical
assembl	disassembl
calcify	decalcify
approbate	reprobate
discriminate	indiscriminate
faithful	unfaithful
dying	nascent
no	ye
interst	intrast
leafless	leafi
handmade	machine-made
loosening	tightening
handed	handless
reality	unreality
overbid	underbid
grammatical	ungrammatical
interested	uninterested
matriarchal	patriarchal
ambitious	unambitious
dicotyledon	monocotyledon
heterozygous	homozygous
tie	unti
unwilling	willing
intractability	tractability
traceable	untraceable
comprehensibility	incomprehensibility
sink	sourc
apologet	unapologet
intend	unintend
Romantic	classic
tasteful	tasteless
multiple-choice	true-false
listed_secur	unlisted_secur
preceding	succeeding
demonstrative	undemonstrative
defence	offence
connotative	denotative
acquaintance	stranger
impenetrability	penetrability
professional	unprofessional
discharge	enlist
listed_security	unlisted_security
descriptive_linguist	prescriptive_linguist
femal	male
fastened	unfastened
fortissimo	pianissimo
steadi	unsteadi
custom-mad	ready-mad
good-natured	ill-natured
ignor	notic
go_off	go_on
constip	unconstip
fasten	unfasten
backward	forward
hope	hopeless
premeditated	unpremeditated
auspiciously	inauspiciously
concept	misconcept
discreetly	indiscreetly
chain	unchain
high_relief	low_relief
domest	undomest
reverber	unreverber
knowabl	unknow
centrifug	centripet
focus	unfocus
interspeci	intraspeci
adjective	substantive
nonviolent	violent
disrepute	repute
disingenuousness	ingenuousness
pronation	supination
grateful	ungrateful
destalinize	stalinize
remarkably	unremarkably
abundant	scarce
nonproliferation	proliferation
discern	indiscern
bad_weath	good_weath
conditionally	unconditionally
inhabited	uninhabited
depend	independ
summerize	winterize
timbered	untimbered
foe	friend
heterozygos	homozygos
freelance	salaried
inflected	uninflected
father	mother
bordered	unbordered
bracteate	ebracteate
contract_in	contract_out
gutless	gutsi
deject	elat
charge	pay_cash
permanently	temporarily
atrophied	hypertrophied
disorient	orient
downtim	uptim
analogous	heterologous
monism	plural
protective	unprotective
earli	late
string	unstr
broadly	narrowly
permissive	preventive
self-consciousness	unselfconsciousness
nonsmok	smoker
merit	unmerit
anonymous	onymous
insolubl	solubl
forgiving	unforgiving
exact	inexact
overstock	understock
cool	heat
failur	success
dim	undim
nonreticulate	reticulate
disequilibrium	equilibrium
impressive	unimpressive
level	rais
resent	unres
irreducible	reducible
anisotropy	isotropy
impermanent	permanent
accidentally	deliberately
losings	winnings
electronic_mail	snail_mail
magnet	nonmagnet
solved	unsolved
nonparticip	particip
counterrevolutionary	revolutionary
convincingli	unconvincingli
tongu	tongueless
anisotropi	isotropi
disqualify	qualify
round	squar
insincer	sincer
fall_short_of	satisfi
brave	timid
hereness	thereness
insignificant	significant
appointive	elective
autolog	heterolog
accompani	unaccompani
maximization	minimization
attribut	predic
agitate	calm
Romanticism	classicism
asham	unasham
purposefulness	purposelessness
blemish	unblemish
cerebr	emot
unworthi	worthi
beseeching	imperative
hyperopia	myopia
fear	fearless
memorably	unmemorably
emersion	immersion
soured	unsoured
atomism	holism
coat	uncoat
appear	disappear
cleanliness	uncleanliness
heaviness	lightness
contracted	expanded
melt	unmelt
ovipar	ovovivipar
current	noncurr
generalist	specialist
suspect	unsuspect
nonrepetit	repetit
downriv	upriv
international	national
falling	rising
commensurate	incommensurate
scripted	unscripted
husbandli	wife
draftee	volunteer
collateral	lineal
sociably	unsociably
cross-pollination	self-pollination
clergy	laity
efficacious	inefficacious
assertive	unassertive
gener	ungener
involuntarily	voluntarily
disintegrative	integrative
monotheistic	polytheistic
shockabl	unshock
hairi	hairless
cismontan	tramontan
femininity	masculinity
explicitli	implicitli
address	unaddress
deceiv	undec
cork	uncork
centralis	decentr
sociable	unsociable
mental_health	mental_il
box	unbox
boy	girl
rh-neg	rh-posit
incoming	outgoing
noticeable	unnoticeable
restrictive	unrestrictive
healthy	unhealthy
negativeness	positiveness
studied	unstudied
funded	unfunded
radial_asymmetri	radial_symmetri
nonvolatile	volatile
becoming	unbecoming
obliqu	perpendicular
jaw	jawless
patriotic	unpatriotic
hospitality	inhospitality
conveniently	inconveniently
guilti	innoc
pattern	plain
radial_asymmetry	radial_symmetry
explod	implod
at_best	at_worst
useful	useless
lawfulness	unlawfulness
melodious	unmelodious
nonsignific	signific
modul	unmodul
sign	unsign
de-ion	ionat
marked	unmarked
bicamer	unicamer
flexibility	inflexibility
anamorph	katamorph
actabl	unact
nonpor	porou
fixed-width_font	proportional_font
mobil	stabil
sympathetic	unsympathetic
allogeneic	xenogeneic
additive	subtractive
handled	handleless
anesthet	bring_to
prove	unprov
saddl	unsaddl
angry	unangry
give	take
beneficence	maleficence
punctur	punctureless
offside	onside
actinomorphic	zygomorphic
expend	unexpend
live	record
unvari	vari
emptiness	fullness
opposed	unopposed
ignobl	nobl
necessit	obviat
sharpen	soften
nonpasserin	passerin
CISC	RISC
loving	unloving
manli	unmanli
capit	social
drinkable	undrinkable
diurnal	nocturn
loudli	softli
behav	misbehav
assent	dissent
acceptable	unacceptable
sparkl	still
majuscul	minuscul
maximise	minimise
insalubrity	salubrity
downtown	uptown
fuel	unfuel
dystopia	utopia
commissioned	noncommissioned
acceptably	unacceptably
begrudg	wish
fingered	fingerless
intemperance	temperance
effort	effortless
religi	secular
terseness	verboseness
lowercase	uppercase
analyt	synthet
edible	inedible
allopatri	sympatri
seamanlik	unseamanlik
prepar	unprepar
cultivated_pl	weed
androgynous	female
modified	unmodified
monoval	polyval
purge	rehabilitate
frivolity	seriousness
labeled	unlabeled
harmonious	inharmonious
nonunion	union
following	leading
fauna	flora
centrally	peripherally
antinod	node
traceabl	untrac
stimulating	unstimulating
social	unsoci
intelligibly	unintelligibly
deservedly	undeservedly
dedicated	undedicated
impermeability	permeability
endocrin	exocrin
figure	ground
predict	unpredict
explos	nonexplos
recover	unrecover
break_even	lose
deservedli	undeservedli
critic	uncrit
unveiled	veiled
sharp	soft
nonwork	worker
invariability	variability
caulk	uncaulk
distinguishable	indistinguishable
cardin	ordin
day_gam	night_gam
differenti	integr
productive	unproductive
multipl	singl
anabolic	catabolic
